mode,development,scenario,score_id,value_mode,value
Rail,100000,scenario_24,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_24,rail_noise_cost,standalone,
Rail,100000,scenario_24,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_24,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_24,rail_tts_cost,integrated,7089972.180847441
Rail,100000,scenario_24,rail_tts_cost,standalone,5553181.008077947
Rail,100000,scenario_25,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_25,rail_accident_cost,standalone,
Rail,100000,scenario_25,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_25,rail_airpollution_cost,standalone,
Rail,100000,scenario_25,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_25,rail_co2_cost,standalone,
Rail,100000,scenario_25,rail_construction_cost,integrated,0.0
