mode,development,rail_accident_cost,rail_airpollution_cost,rail_co2_cost,rail_land_consumption_cost,rail_noise_cost,road_accident_cost,road_airpollution_cost,road_co2_cost,road_land_consumption_cost,road_noise_cost,total_externalities_chf,noise_externality_chf,new_link_km,surface_route_km,settlement_exposed_km,road_noise_relevant_share,development_label,total_externalities_mio_chf,noise_externality_mio_chf,externality_per_new_link_km,externality_per_surface_route_km,noise_per_settlement_exposed_km
Road,227,,,,,,43737.67337656128,9648.09238563643,10907.215076135706,55460.97894508853,-13.417492052473255,119740.54229136946,-13.417492052473255,1.6950176939207984,1.6950176939207984,0.0,0.0,227,0.11974054229136946,-1.3417492052473255e-05,0.07064265035156882,0.07064265035156882,-inf
Road,233,,,,,,66829.4056399782,14741.89708584758,16665.78591069235,63840.56236795131,7902.10160276782,169979.75260723726,7902.10160276782,1.9511174317833533,1.9511174317833533,1.3909010778614244,0.712874097275692,233,0.16997975260723724,0.00790210160276782,0.0871191809566649,0.0871191809566649,0.005681282248280138
Road,240,,,,,,49479.859927177036,10914.761187584843,12339.190279197686,60977.48280514915,3269.0125240678512,136980.30672317656,3269.0125240678512,1.8636150001573704,1.8636150001573704,0.5697761650206538,0.3057370567271351,240,0.13698030672317657,0.003269012524067851,0.07350247058089222,0.07350247058089222,0.005737362713214501
Road,243,,,,,,670068.9988193072,147810.50536684637,167100.4907611233,299061.929416669,8504.20988513541,1292546.1342490811,8504.20988513541,9.69003451762436,9.140034517624361,0.6441628011015598,0.07047706437644699,243,1.2925461342490812,0.00850420988513541,0.13338921877916757,0.14141589200311186,0.013201957440871569
Road,245,,,,,,388649.63022865995,85732.21318395509,96920.68139217263,134128.35212052506,21750.486900470827,727181.3638257835,21750.486900470827,4.0992772652972205,4.0992772652972205,1.778040308922743,0.43374482716133744,245,0.7271813638257835,0.021750486900470826,0.1773925784385943,0.1773925784385943,0.012232842411569815
Road,249,,,,,,591127.1192619946,130396.71793221585,147414.11989651682,264799.1202389334,25755.3084288362,1159492.3857584968,25755.3084288362,8.092882647889162,8.092882647889162,1.7848319673923865,0.22054341389194837,249,1.159492385758497,0.0257553084288362,0.14327310010616837,0.14327310010616837,0.014430102608742676
Road,25,,,,,,421702.87838070403,93023.42844981293,105163.43549240397,107712.98814100532,28199.56129476619,755802.2917586924,28199.56129476619,3.2919617402507733,3.2919617402507733,2.240378889621036,0.6805604276100639,25,0.7558022917586924,0.02819956129476619,0.22959024174476503,0.22959024174476503,0.01258696081515756
Road,250,,,,,,159685.20458012205,35224.95568394589,39821.982660959235,59173.36161544009,159.9616432539812,294065.46618372126,159.9616432539812,5.2334768219877645,1.8084768219877776,0.053874299150936014,0.029789875377955004,250,0.29406546618372126,0.00015996164325398122,0.05618931280028678,0.16260394526953395,0.002969164254106163
Road,254,,,,,,-1429862.212701675,-315413.27331483463,-356576.23003637313,265905.5931122744,-73232.96879311882,-1909179.0917337271,-73232.96879311882,10.751699055998705,8.126699055998605,0.3258256587159858,0.04009323545400421,254,-1.9091790917337272,-0.07323296879311883,-0.17756998980254543,-0.23492676160125486,-0.22476120843801994
Road,255,,,,,,102920.25107795605,22703.175868635728,25666.050055573687,49635.34468994985,5191.405067898739,206116.22676001408,5191.405067898739,1.5169726372234065,1.5169726372234065,0.45160311930046565,0.2977002407420204,255,0.20611622676001407,0.005191405067898738,0.13587339791262107,0.13587339791262107,0.011495503122166732
Road,261,,,,,,187833.2170076141,41434.12511173765,46841.47871117494,54825.033043966374,6160.7437871319735,337094.597661625,6160.7437871319735,1.6755816944977493,1.6755816944977493,0.04561630896838133,0.0272241628791813,261,0.33709459766162503,0.006160743787131973,0.20118063999420102,0.20118063999420102,0.13505572735843788
Road,267,,,,,,38147.08919764808,8414.86554744944,9513.046174748157,85029.511326883,2364.942868650447,143469.45511537913,2364.942868650447,2.5987014464206295,2.5987014464206295,0.7332569324345108,0.2821628215293743,267,0.14346945511537912,0.0023649428686504472,0.05520813301312064,0.05520813301312064,0.0032252581108214297
Road,27,,,,,,407783.4318983718,89952.9380635906,101692.23126952643,100587.93634205122,28351.70553784546,728368.2431113856,28351.70553784546,3.0742034334367734,3.0742034334367734,2.0356077013011658,0.6621577736726029,27,0.7283682431113856,0.02835170553784546,0.2369290968805906,0.2369290968805906,0.013927882823258615
Road,270,,,,,,116058.08498464541,25601.25035439045,28942.33726959822,36730.27143257653,3362.5539608614285,210694.49800207204,3362.5539608614285,1.897563307841486,1.1225633078415809,0.1656695220055669,0.14758145117366211,270,0.21069449800207204,0.0033625539608614285,0.111034239085146,0.1876905262538706,0.020296756579936525
Road,273,,,,,,65737.35929579356,14501.002607364959,16393.453538401307,75916.5587701911,2750.399975150362,175298.77418690128,2750.399975150362,2.320188226472833,2.320188226472833,0.5519772360289033,0.23790192094372578,273,0.1752987741869013,0.002750399975150362,0.07555368663058504,0.07555368663058504,0.004982814137295949
Road,277,,,,,,343050.9252014587,75673.59586839427,85549.36589848009,29733.84467517247,12003.229179284357,546010.9608227899,12003.229179284357,3.0337360842044467,0.9087360842045377,0.0983957632742888,0.10827760114799398,277,0.5460109608227899,0.012003229179284357,0.17997971664894288,0.6008465717532728,0.12198928876463981
Road,28,,,,,,790868.0828528991,174457.5725947279,197225.12906117196,371299.54841624544,5997.358957738759,1539847.6918827833,5997.358957738759,16.547785709542953,11.347785709542954,1.1425276319501152,0.1006828698738383,28,1.5398476918827833,0.005997358957738759,0.09305460675592188,0.13569587330044872,0.005249202548827821
