ID_edge,flow,fftt_min,tt_min,delay_min
69,0.0,0.13281356866725225,0.13281356866725225,0.0
160,0.0,0.12921132001845223,0.12921132001845223,0.0
145,0.0,0.12321835739619201,0.12321835739619201,0.0
54,0.0,0.1123935290527288,0.1123935290527288,0.0
52,0.0,0.08912140383084068,0.08912140383084068,0.0
134,0.0,0.08269973746928423,0.08269973746928423,0.0
119,0.0,0.07108348924567924,0.07108348924567924,0.0
72,0.0,0.05684016559465481,0.05684016559465481,0.0
51,0.0,0.044919301423512935,0.044919301423512935,0.0
50,0.0,0.03325102187657422,0.03325102187657422,0.0
137,0.0,0.03246177602996402,0.03246177602996402,0.0
144,0.0,0.014826148437410168,0.014826148437410168,0.0
38,0.0,0.001779115638927821,0.001779115638927821,0.0
