development,scenario,total_mmin,top_edge,top_delta_delay,top_vcr,top_sq_vcr,n_more_delay,n_less_delay,max_delta_delay,min_delta_delay
822,scenario_70,-0.0017258583023593529,178,0.052619765921051,2.6944328773275696,2.6900834474156134,2,0,0.052619765921051,-0.0027619533699327903
831,scenario_70,-0.0037327105493815617,178,0.18600469853420165,2.7054143698570994,2.6900834474156134,12,6,0.18600469853420165,-0.13365921942790582
837,scenario_70,0.00027999936067324595,124,3.1552434469617197e-06,1.2213167476090026,1.2213139599624734,0,2,3.1552434469617197e-06,-0.015748260330735064
858,scenario_70,-0.0022693254040626345,103,9.55880646102969e-06,0.22232902982040742,0.2222910859399638,0,3,9.55880646102969e-06,-0.3370455156147061
863,scenario_70,-0.0010454678672052688,0,0.0,0.0,0.0,0,3,0.0,-0.3958566596660229
866,scenario_70,-0.0012426806241737213,178,0.04149978290143963,2.6935145441749047,2.6900834474156134,2,0,0.04149978290143963,-3.678801680662147e-05
873,scenario_70,-0.01491229649760446,178,0.4335866323179367,2.725633855098032,2.6900834474156134,29,1,0.4335866323179367,-0.08072603069508788
878,scenario_70,-0.0035406006057490595,178,0.09470375035247258,2.697904382345825,2.6900834474156134,5,4,0.09470375035247258,-0.04819046363022217
887,scenario_70,-0.007927690610954073,178,0.2422702454859369,2.7100280111888284,2.6900834474156134,16,0,0.2422702454859369,-0.0029367465237366552
895,scenario_70,-0.008951953576997039,178,0.3892471752112101,2.7220281935264103,2.6900834474156134,27,1,0.3892471752112101,-0.034360020167082395
935,scenario_70,-0.0022626221673863476,178,0.07868581123305063,2.6965838011151058,2.6900834474156134,2,0,0.07868581123305063,-0.001131441133061628
938,scenario_70,0.004115788421046455,103,2.783827529695415e-05,0.22240156531647456,0.2222910859399638,0,14,2.783827529695415e-05,-0.43362297001362404
940,scenario_70,-0.001905262553563225,178,0.06606508433779368,2.6955426611938864,2.6900834474156134,2,0,0.06606508433779368,-4.2252854171032084e-07
945,scenario_70,-0.01744652305544866,178,0.668598114834392,2.744634369181542,2.6900834474156134,35,1,0.668598114834392,-0.3174560330828051
952,scenario_70,-0.006907562377411755,178,0.3366615692172239,2.717743273012457,2.6900834474156134,25,1,0.3366615692172239,-0.18447214578824966
958,scenario_70,0.00039855859064345713,86,0.10464549685344049,1.1686317707860931,1.0572839011936916,4,3,0.10464549685344049,-0.0661601381824698
964,scenario_70,2.79995074440958e-05,0,0.0,0.0,0.0,0,0,0.0,-0.005039649519861911
970,scenario_70,-0.005307475573382224,178,0.12516791160120633,2.700413472187329,2.6900834474156134,6,0,0.12516791160120633,-0.0029345330822461158
971,scenario_70,-0.0001832389897381654,86,0.07825134119208266,1.1419716701896325,1.0572839011936916,1,1,0.07825134119208266,-0.061886278036189624
987,scenario_70,-0.0001213919297833927,178,0.007496409724666364,2.690703684897279,2.6900834474156134,0,0,0.007496409724666364,0.0
0,scenario_75,0.008891978870275197,86,3.90619152579319e-08,1.2970675243424687,1.2970674907888846,0,29,3.90619152579319e-08,-0.39247961545519416
2,scenario_75,-0.010285432544279844,178,0.6715910984040256,3.3380715552917732,3.296629404741017,35,1,0.6715910984040256,-0.08206476486831527
9,scenario_75,0.06440280917274277,0,0.0,0.0,0.0,0,40,0.0,-2.85373848174288
12,scenario_75,-0.00038265292701870196,103,0.00016863637947661658,0.27312774536403345,0.2726253109094554,0,3,0.00016863637947661658,-0.3134015190783992
15,scenario_75,0.006321497456232901,86,3.9146680563817426e-08,1.2970675244152807,1.2970674907888846,0,24,3.9146680563817426e-08,-0.2740077897291755
17,scenario_75,0.0016195005745663078,103,0.0029099526547264887,0.2811203376794737,0.2726253109094554,0,3,0.0029099526547264887,-0.2701048635164982
25,scenario_75,-0.008785283442892018,178,0.7175675708982432,3.340882372748817,3.296629404741017,42,1,0.7175675708982432,-0.1523364588875855
27,scenario_75,-0.008237247325223521,178,0.6675221510950813,3.3378226365070978,3.296629404741017,41,1,0.6675221510950813,-0.19359719677112475
28,scenario_75,0.0031539086530345964,103,0.0009768325301173775,0.27551792255468177,0.2726253109094554,0,26,0.0009768325301173775,-0.7697764119388248
57,scenario_75,0.005090233110287227,86,4.008836662627857e-08,1.2970675252241746,1.2970674907888846,0,12,4.008836662627857e-08,-0.1411714539167015
62,scenario_75,0.0016244882672596726,91,0.025471836530473357,0.75342273901029,0.7265174445417305,1,4,0.025471836530473357,-0.08039074206052987
63,scenario_75,-0.021027167096370248,178,0.7628939064697775,3.343650206300247,3.296629404741017,36,1,0.7628939064697775,-0.13363741527434625
73,scenario_75,-0.008845345788564883,178,0.37758012773361216,3.3200180066404332,3.296629404741017,26,0,0.37758012773361216,-0.009726497962843084
90,scenario_75,0.00033812935852422377,124,6.421969667602667e-06,1.4991115944056133,1.4991073358204154,0,2,6.421969667602667e-06,-0.018364183790964717
94,scenario_75,0.0002567536570145749,91,0.0022916771404219993,0.7289952296708191,0.7265174445417305,0,2,0.0022916771404219993,-0.013639670220840117
103,scenario_75,-0.011087724393029696,178,0.689781149783677,3.339184018237785,3.296629404741017,35,1,0.689781149783677,-0.13829018562977735
104,scenario_75,0.00021273930112668317,0,0.0,0.0,0.0,0,2,0.0,-0.012323007639746919
109,scenario_75,-0.03705706745335413,178,1.4624492681809613,3.385967971226219,3.296629404741017,38,1,1.4624492681809613,-0.1314717977761215
114,scenario_75,-0.0011901669417339145,86,0.3777557210090685,1.5778237618153332,1.2970674907888846,3,1,0.3777557210090685,-0.011984173356132888
126,scenario_75,-0.022315251519287004,178,0.7843172315110394,3.344957296949816,3.296629404741017,36,1,0.7843172315110394,-0.08214838974315875
140,scenario_75,-0.000439921947966679,178,0.018862032917290605,3.297803298811656,3.296629404741017,2,0,0.018862032917290605,-1.7077387227670826e-06
143,scenario_75,-7.618027346371672e-05,89,0.004007383197627501,0.6258774304308806,0.615739578813422,0,0,0.004007383197627501,-0.0024582301966171727
144,scenario_75,-0.007777741026526667,178,0.5508854683731386,3.3306762809111152,3.296629404741017,37,1,0.5508854683731386,-0.12645681328467773
150,scenario_75,-0.013883231073895237,178,0.642420989425748,3.33628649217605,3.296629404741017,35,0,0.642420989425748,-0.005890511389625264
152,scenario_75,0.06560773019062599,0,0.0,0.0,0.0,0,40,0.0,-2.9502184893913004
176,scenario_75,0.005611952023696154,91,0.0001894497770758008,0.7267227282385665,0.7265174445417305,0,24,0.0001894497770758008,-0.30479164274711934
177,scenario_75,0.0005438319418897154,87,0.009587103058218305,1.5853844034606475,1.5676547535435652,0,3,0.009587103058218305,-0.21111762412444834
195,scenario_75,-0.014474108181902324,178,0.6176572289199491,3.334770025211654,3.296629404741017,35,0,0.6176572289199491,-0.008306185207369587
197,scenario_75,-0.001578187960163923,178,0.06274294965107785,3.3005320025165146,3.296629404741017,2,0,0.06274294965107785,-1.715348094677438e-06
201,scenario_75,-0.02098324859632354,178,0.768356514527607,3.343983561623644,3.296629404741017,36,1,0.768356514527607,-0.10468032591987031
202,scenario_75,-0.005439142635236611,178,0.27545509224110276,3.3137148246689034,3.296629404741017,22,0,0.27545509224110276,-0.00557714284019184
206,scenario_75,0.0005864675829481567,124,5.663521109866565e-07,1.4991077113848006,1.4991073358204154,0,3,5.663521109866565e-07,-0.02797328290287382
209,scenario_75,0.000601401533455588,0,0.0,0.0,0.0,0,6,0.0,-0.6299969346648986
227,scenario_75,0.0002290083049017703,178,0.0031585625905030668,3.2968260212640006,3.296629404741017,0,1,0.0031585625905030668,-0.0213088050738377
233,scenario_75,-0.0005612002409748966,178,0.018908247393607525,3.2978061742890556,3.296629404741017,2,0,0.018908247393607525,-0.0024311903907605625
240,scenario_75,3.875249114003964e-06,178,0.0032762825164880383,3.296833348863063,3.296629404741017,0,1,0.0032762825164880383,-0.015505823492697024
243,scenario_75,-0.007676316097503528,178,0.29419775127933434,3.3148728834983845,3.296629404741017,23,1,0.29419775127933434,-0.7453775174540223
245,scenario_75,-0.00849986633095739,178,0.6173260836337207,3.334749740211443,3.296629404741017,41,1,0.6173260836337207,-0.11032727009602561
249,scenario_75,-0.02068053371578746,178,0.724183193659254,3.3412865530383566,3.296629404741017,36,1,0.724183193659254,-0.11870727041652751
250,scenario_75,0.0006708358542611822,178,0.002843667727276511,3.2968064201941036,3.296629404741017,0,2,0.002843667727276511,-0.09406506142186788
254,scenario_75,0.07444146199291642,0,0.0,0.0,0.0,0,43,0.0,-3.398324585839884
255,scenario_75,-0.0004477715808020439,178,0.08307604190889961,3.301795331283048,3.296629404741017,2,1,0.08307604190889961,-0.07774187829023527
261,scenario_75,-0.006016155636209296,178,0.32759377902552345,3.3169349322693717,3.296629404741017,24,0,0.32759377902552345,-0.0029030074398104233
267,scenario_75,-0.0004060123739093542,178,0.017575745789869757,3.2977232642650764,3.296629404741017,2,5,0.017575745789869757,-0.07831952031182832
270,scenario_75,-6.853292765840888e-05,178,0.0664030547884451,3.3007594608839783,3.296629404741017,2,1,0.0664030547884451,-0.0799701869142595
273,scenario_75,6.341684644203633e-05,178,0.0033092492219708447,3.2968354009058,3.296629404741017,0,2,0.0033092492219708447,-0.03179657372126121
