development,scenario,total_mmin,ID_edge,flow,sq_flow,vcr,sq_vcr,delay_min,sq_delay_min,delta_delay_min
109,scenario_19,-0.0621938276386807,61,4406.185049334274,4290.090382360721,1.8886348261184198,1.8388728599917366,4.808023537482702,4.509573684111121,0.29844985337158114
351,scenario_19,-0.03767497112435196,68,4398.471832290654,4290.090382360721,1.883713846805419,1.8372978082915294,5.108558557510475,4.811643917002436,0.29691464050803873
759,scenario_64,-0.05492975241930504,174,4170.459036040046,4063.4200199596817,1.895663198200021,1.8470090999816735,4.8582867299253945,4.5643821440509385,0.293904585874456
759,scenario_19,-0.06130184127195924,61,4402.97238929034,4290.090382360721,1.8872577750923019,1.8388728599917366,4.799614269885433,4.509573684111121,0.290040585774312
662,scenario_78,-0.056581092939046326,68,4553.9588713990015,4455.030657165999,1.9503035851815853,1.9079360416128477,5.552746784323612,5.267635215504954,0.2851115688186585
521,scenario_78,-0.06005521804013045,61,4560.342305564948,4455.030657165999,1.9547116611937199,1.9095716490210028,5.221675621568327,4.936938301148633,0.28473732041969413
945,scenario_78,-0.04715568273995316,174,4545.491083088181,4455.030657165999,2.066132310494628,2.0250139350754544,5.973595672782771,5.692244578083761,0.2813510946990103
662,scenario_19,-0.052363314513050485,174,4385.27604649311,4290.090382360721,1.9933072938605045,1.950041082891237,5.480681033075085,5.199497094561304,0.2811839385137809
612,scenario_64,-0.05571932138840121,68,4173.575982071969,4063.4200199596817,1.7873987075254683,1.7402227066208487,4.503954539795557,4.2239049621298514,0.2800495776657055
109,scenario_64,-0.05572175393143785,68,4173.506571080048,4063.4200199596817,1.7873689811905988,1.7402227066208487,4.503774768598464,4.2239049621298514,0.2798698064686125
351,scenario_19,-0.03767497112435196,61,4398.471832290654,4290.090382360721,1.8853286893659038,1.8388728599917366,4.787848317969834,4.509573684111121,0.27827463385871276
521,scenario_19,-0.05557900253317156,68,4391.406401802323,4290.090382360721,1.8806879665106306,1.8372978082915294,5.088886131342309,4.811643917002436,0.27724221433987317
759,scenario_64,-0.05492975241930504,68,4170.459036040046,4063.4200199596817,1.7860638269978784,1.7402227066208487,4.495885922419483,4.2239049621298514,0.2719809602896319
662,scenario_78,-0.056581092939046326,61,4553.9588713990015,4455.030657165999,1.9519755128156886,1.9095716490210028,5.204150848452265,4.936938301148633,0.2672125473036324
521,scenario_64,-0.04988906671743712,174,4159.484728824643,4063.4200199596817,1.890674876738474,1.8470090999816735,4.827660946394065,4.5643821440509385,0.2632788023431267
612,scenario_64,-0.05571932138840121,61,4173.575982071969,4063.4200199596817,1.788930982456909,1.7417145392026068,4.221200740837073,3.9587323979023186,0.2624683429347545
109,scenario_64,-0.05572175393143785,61,4173.506571080048,4063.4200199596817,1.7889012306386833,1.7417145392026068,4.221032255497432,3.9587323979023186,0.26229985759511365
945,scenario_78,-0.04715568273995316,68,4545.491083088181,4455.030657165999,1.9466771233782358,1.9079360416128477,5.527999104306143,5.267635215504954,0.260363888801189
662,scenario_19,-0.052363314513050485,68,4385.27604649311,4290.090382360721,1.8780625466779914,1.8372978082915294,5.071853118527678,4.811643917002436,0.2602092015252424
521,scenario_19,-0.05557900253317156,61,4391.406401802323,4290.090382360721,1.8823002150888652,1.8388728599917366,4.769410907205275,4.509573684111121,0.2598372230941539
945,scenario_19,-0.043440633826937296,174,4376.999833298338,4290.090382360721,1.9895453787719717,1.950041082891237,5.455889320697313,5.199497094561304,0.2563922261360094
759,scenario_64,-0.05492975241930504,61,4170.459036040046,4063.4200199596817,1.7875949575825316,1.7417145392026068,4.21363866325736,3.9587323979023186,0.25490626535504113
662,scenario_64,-0.04699116145448853,174,4153.656291387331,4063.4200199596817,1.8880255869942415,1.8470090999816735,4.811441557277865,4.5643821440509385,0.2470594132269266
945,scenario_78,-0.04715568273995316,61,4545.491083088181,4455.030657165999,1.9483459421723879,1.9095716490210028,5.1809568032413935,4.936938301148633,0.24401850209276077
662,scenario_19,-0.052363314513050485,61,4385.27604649311,4290.090382360721,1.8796725445748435,1.8388728599917366,4.753447210041699,4.509573684111121,0.24387352593057798
521,scenario_64,-0.04988906671743712,68,4159.484728824643,4063.4200199596817,1.7813639095608749,1.7402227066208487,4.467544649724844,4.2239049621298514,0.24363968759499244
670,scenario_78,-1.7933645213022827e-05,88,1855.747047386627,1619.279444315814,1.3217571562582813,1.1533329375468762,0.8646738310614053,0.623418340134188,0.24125549092721732
945,scenario_19,-0.043440633826937296,68,4376.999833298338,4290.090382360721,1.8745181298922218,1.8372978082915294,5.048910728160858,4.811643917002436,0.2372668111584222
662,scenario_64,-0.04699116145448853,68,4153.656291387331,4063.4200199596817,1.7788677907440391,1.7402227066208487,4.452535135620088,4.2239049621298514,0.2286301734902363
521,scenario_64,-0.04988906671743712,61,4159.484728824643,4063.4200199596817,1.7828910110692855,1.7417145392026068,4.1870766275534415,3.9587323979023186,0.2283442296511229
945,scenario_64,-0.03881867546906369,174,4145.962475707307,4063.4200199596817,1.884528398048776,1.8470090999816735,4.790079929593553,4.5643821440509385,0.22569778554261433
945,scenario_19,-0.043440633826937296,61,4376.999833298338,4290.090382360721,1.8761250892834709,1.8388728599917366,4.731945120187703,4.509573684111121,0.22237143607658183
662,scenario_64,-0.04699116145448853,61,4153.656291387331,4063.4200199596817,1.7803927524163443,1.7417145392026068,4.173009395857655,3.9587323979023186,0.21427699795533606
775,scenario_78,-0.04128965992466558,174,4523.850392221087,4455.030657165999,2.0562956328277666,2.0250139350754544,5.905567542473323,5.692244578083761,0.21332296438956178
945,scenario_64,-0.03881867546906369,68,4145.962475707307,4063.4200199596817,1.7755727947354634,1.7402227066208487,4.432766964961428,4.2239049621298514,0.20886200283157663
331,scenario_78,-0.04043588614707336,174,4522.112173165828,4455.030657165999,2.0555055332571945,2.0250139350754544,5.900123113507407,5.692244578083761,0.20787853542364587
126,scenario_78,-0.039328285126749546,174,4520.1561757425,4455.030657165999,2.054616443519318,2.0250139350754544,5.894000064216735,5.692244578083761,0.20175548613297423
201,scenario_78,-0.037498202358417096,174,4518.809323017217,4455.030657165999,2.0540042377350987,2.0250139350754544,5.889786035821723,5.692244578083761,0.1975414577379624
