ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run
109,3787.9535621091854,0.0,status_quo,scenario_44,729,99,3787.9535621091854,2.2957294315813246,0.0,2.2957294315813246,0.0,15iter_status_quo
110,2664.418268404272,0.0,status_quo,scenario_44,729,88,2664.418268404272,1.816648819366549,0.0,1.816648819366549,0.0,15iter_status_quo
111,2236.141648525741,0.0,status_quo,scenario_44,729,90,2236.141648525741,1.4907610990171607,0.0,1.4907610990171607,0.0,15iter_status_quo
112,6295.230880371994,0.0,status_quo,scenario_44,729,85,6295.230880371994,4.443692386144937,0.0,4.443692386144937,0.0,15iter_status_quo
113,1386.837480073949,0.0,status_quo,scenario_44,2347,110,1386.837480073949,0.7564568073130633,0.0,0.7564568073130633,0.0,15iter_status_quo
114,4482.098099171079,0.0,status_quo,scenario_44,2333,120,4482.098099171079,2.2410490495855395,0.0,2.2410490495855395,0.0,15iter_status_quo
115,967.2338545450544,0.0,status_quo,scenario_44,2096,114,967.2338545450544,0.5090704497605549,0.0,0.5090704497605549,0.0,15iter_status_quo
116,6641.566474985803,0.0,status_quo,scenario_44,2339,115,6641.566474985803,3.465165117383897,0.0,3.465165117383897,0.0,15iter_status_quo
117,2900.4197279862065,0.0,status_quo,scenario_44,2333,120,2900.4197279862065,1.4502098639931031,0.0,1.4502098639931031,0.0,15iter_status_quo
118,7150.926141131028,0.0,status_quo,scenario_44,2334,118,7150.926141131028,3.6360641395581497,0.0,3.6360641395581497,0.0,15iter_status_quo
119,138.61280402907454,0.0,status_quo,scenario_44,2139,117,138.61280402907454,0.0710834892456792,0.0,0.0710834892456792,0.0,15iter_status_quo
120,4646.296659299301,0.0,status_quo,scenario_44,2333,120,4646.296659299301,2.3231483296496505,0.0,2.3231483296496505,0.0,15iter_status_quo
121,6375.642888146268,0.0,status_quo,scenario_44,2333,119,6375.642888146268,3.214609859569547,0.0,3.214609859569547,0.0,15iter_status_quo
122,9246.570828344114,0.0,status_quo,scenario_44,2333,120,9246.570828344114,4.623285414172058,0.0,4.623285414172058,0.0,15iter_status_quo
