development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
62,scenario_19,107343294.42539243,-228962702.10747892,140830295.48902065,99638804.77865678,95836896.26519392,1916737.9253038785,95836896.26519394,140830295.48902065,4051401.1278663515,1916737.9253038785,2263302.7226348687,119563794.17793445,0.0,0.0,142747033.41432452,6314703.850501221,0.7519826637225278,18.934188682252177,13610285.548776448,Road,,,,,,,,,,
63,scenario_19,-1099665607.282933,-3549179264.675541,1122072298.9151125,602119297.8778179,725322060.5996771,14506441.211993542,725322060.5996771,1122072298.9151125,32279737.54927389,14506441.211993542,17129346.405373808,-1224857062.9170833,0.0,0.0,1136578740.127106,49409083.9546477,-0.967522590788523,-24.79011883809407,-1876385444.749549,Road,,,,,,,,,,
73,scenario_19,-491441754.8444389,-1130067976.951346,166819302.03902298,352816567.9526391,118990352.11524504,2379807.042304901,118990352.11524498,166819302.03902298,4799051.980143475,2379807.042304901,2810099.2248798893,-547389952.4064156,0.0,0.0,169199109.0813279,7609151.205023365,-2.90451739085825,-71.93837231740682,-907815671.5640781,Road,,,,,,,,,,
90,scenario_19,57521103.27692353,-1214515963.2369344,137847332.70199814,1041038893.0358596,93150840.7760003,1863016.815520006,93150840.77600026,137847332.70199814,3965587.3563496363,1863016.815520006,2199868.3154414445,64069594.56484608,0.0,0.0,139710349.51751816,6165455.67179108,0.4117168375540497,10.391704680967027,-983134754.1428046,Road,,,,,,,,,,
94,scenario_19,20773613.89442342,-256314264.4639734,121470946.13406222,77063305.33401044,78553626.89032419,1571072.537806484,78553626.89032418,121470946.13406222,3494472.027213062,1571072.537806484,1855137.6822736738,23138586.43243929,0.0,0.0,123042018.6718687,5349609.709486736,0.16883349378250187,4.32528496264063,-59274328.611057885,Road,,,,,,,,,,
103,scenario_19,-723869871.599849,-1674244965.0374238,259656718.26383355,489146659.15574867,201571716.01799256,4031434.3203598512,201571716.01799273,259656718.26383355,7469795.597454983,4031434.3203598512,4760356.725318894,-806278853.3076622,0.0,0.0,263688152.5841934,12230152.322773878,-2.745174041783024,-65.92549561351603,-1307655664.7861848,Road,,,,,,,,,,
104,scenario_19,48920093.38687271,-1085670537.162446,126249993.90891679,925540524.4335165,82800112.20688549,1656002.2441377097,82800112.20688546,126249993.90891679,3631955.510279974,1656002.2441377097,1955423.5027994865,54489402.51166506,0.0,0.0,127905996.15305449,5587379.013079461,0.3824691168374475,9.752229512999056,-876638500.9349309,Road,,,,,,,,,,
109,scenario_19,-2054720148.7957752,-5385955724.367524,1719139270.9049108,512234634.77039987,1099861669.8964376,21997233.397928752,1099861669.8964381,1719139270.9049108,49456139.79519407,21997233.397928752,25974546.43261869,-2288639810.0500145,0.0,0.0,1741136504.3028395,75430686.22781275,-1.1801028487530885,-30.3409649905339,-2876305131.0482273,Road,,,,,,,,,,
114,scenario_19,-330651701.4483838,-904949719.6333592,153451414.61605844,313737315.6128099,107109287.95610711,2142185.759122142,107109287.95610714,153451414.61605844,4414485.051596405,2142185.759122142,2529513.7102492102,-368294751.788487,0.0,0.0,155593600.37518057,6943998.761845615,-2.1250983372779357,-53.037848136165216,-688976066.1631424,Road,,,,,,,,,,
126,scenario_19,-1166689085.5726178,-2545667689.8579817,481418563.00908685,521938378.627965,375621662.6483119,7512433.252966238,375621662.6483121,481418563.00908685,13849432.768554196,7512433.252966238,8870754.008978862,-1299510830.5903575,0.0,0.0,488930996.2620531,22720186.777533058,-2.3862039725280697,-57.19630931359172,-1844169395.9958556,Road,,,,,,,,,,
140,scenario_19,-12603951.617450414,-789138380.2861325,141422827.4711255,538745492.5444238,96366108.65313269,1927322.1730626537,96366108.65313268,141422827.4711255,4068447.067678242,1927322.1730626537,2275800.704989801,-14038848.77098578,0.0,0.0,143350149.64418817,6344247.772668043,-0.0879242306250457,-2.212846861288617,-559128589.0880777,Road,,,,,,,,,,
143,scenario_19,-1204901.177981228,-836979572.2561568,429374947.4540389,140991893.1039116,265407830.52022496,5308156.610404499,265407830.52022505,429374947.4540389,12352243.814815175,5308156.610404499,6267922.781668804,-1342073.17951311,0.0,0.0,434683104.0644434,18620166.59648398,-0.002771907089820075,-0.07207632501883908,-160954132.8799087,Road,,,,,,,,,,
