mode,development,scenario_count,median_tts_minutes,mean_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,median_bcr_integrated,iqr_tts_minutes,abs_median_tts_minutes,relative_iqr_tts,relative_std_tts
Road,250,3,,,,,,,,-0.09622056979552085,,,,
Road,254,3,,,,,,,,37.525988608572995,,,,
Road,255,3,,,,,,,,-1.9781168210910791,,,,
Road,261,3,,,,,,,,-30.503484264625524,,,,
Road,267,3,,,,,,,,2.594778989461784,,,,
Road,27,3,,,,,,,,-27.661592659344148,,,,
Road,270,3,,,,,,,,-0.028520995570617172,,,,
Road,273,3,,,,,,,,0.14525711168642555,,,,
Road,277,3,,,,,,,,-5.126063652693958,,,,
Road,28,3,,,,,,,,1.6041820939882518,,,,
Road,284,3,,,,,,,,-2.700823137779029,,,,
Road,285,3,,,,,,,,-11.697428373960072,,,,
Road,289,3,,,,,,,,-4.391523453509682,,,,
Road,308,3,,,,,,,,0.02654099592368693,,,,
Road,331,3,,,,,,,,-7.798735026423931,,,,
Road,334,3,,,,,,,,54.82339515269368,,,,
Road,348,3,,,,,,,,-17.620436819439107,,,,
Road,351,3,,,,,,,,-44.13439286422442,,,,
Road,356,3,,,,,,,,-21.23460846670103,,,,
Road,358,3,,,,,,,,-4.768989397722373,,,,
Road,390,3,,,,,,,,-20.6544218362452,,,,
Road,392,3,,,,,,,,2.8603481185596253,,,,
Road,394,3,,,,,,,,-11.217247387537059,,,,
Road,423,3,,,,,,,,26.70886132766765,,,,
Road,459,3,,,,,,,,-0.5298970074392872,,,,
Road,464,3,,,,,,,,-0.21485637052717454,,,,
Road,469,3,,,,,,,,-30.473743210780672,,,,
Road,486,3,,,,,,,,-7.295657868115459,,,,
Road,493,3,,,,,,,,0.14100117831752296,,,,
Road,499,3,,,,,,,,-23.806977441720843,,,,
Road,517,3,,,,,,,,-44.01021871004775,,,,
Road,521,3,,,,,,,,-15.850996599580306,,,,
Road,531,3,,,,,,,,-64.63873879749677,,,,
Road,533,3,,,,,,,,-1.0765954719553539,,,,
Road,538,3,,,,,,,,1.2016440905007983,,,,
