mode,development,scenarios,mean_bcr_integrated,std_bcr_integrated,min_bcr_integrated,max_bcr_integrated,mean_nb_integrated,std_nb_integrated,viable_scenarios_integrated
Road,776,3,-25.303748993121918,17.566996663723433,-45.13853938634773,-11.707333638115207,-996645922.3940926,170614496.27098927,0
Road,390,3,-26.27889250000182,17.99317915156237,-46.41245841860541,-11.76979724515486,-661487981.0237478,305555805.0116062,0
Road,356,3,-27.161424247287552,18.401527579411265,-47.79601937225965,-12.453644902901978,-926339726.1453695,249333948.9258315,0
Road,144,3,-28.743391615713886,18.88658126926976,-49.72450773275615,-13.100404333697945,-1480554684.030905,138483881.51295778,0
Road,114,3,-29.275351940354387,21.389470802548423,-53.037848136165216,-11.561669348935265,-523969322.001071,148528458.76942915,0
Road,499,3,-29.521049230895574,20.11584621422757,-51.87575951515239,-12.8804107358135,-1182509080.8377457,135946911.41734332,0
Road,195,3,-32.50951236199274,22.11201064219398,-57.274127866599756,-14.74423342063079,-742127157.3374602,356672162.52118665,0
Road,789,3,-33.23925486824857,22.882984050857935,-58.85612208783234,-14.821628405426955,-1278790788.84843,258278288.96811187,0
Road,126,3,-33.46897687716122,21.19548661303336,-57.19630931359172,-16.40829956105411,-1305079971.307536,481565414.6888196,0
Road,27,3,-34.79254920424406,25.012664329350347,-62.596333335784436,-14.119721617603597,-1250981349.2139647,169824696.20316467,0
Road,103,3,-36.0186031934659,26.714555817831144,-65.92549561351603,-14.519102303278379,-941889814.9881601,326723086.8873199,0
Road,970,3,-36.40004847808018,21.52624840467048,-60.596242098283554,-19.373713534547797,-446279189.13392144,130322163.18461308,0
Road,25,3,-36.42155596728002,26.489603671396658,-65.8790985360762,-14.559132601139922,-1349100496.0261345,184252906.39064726,0
Road,552,3,-37.69391213986254,25.866248227863757,-66.68056967139167,-16.964153205495972,-418147548.7638698,167134134.3912225,0
Road,750,3,-38.658210386140006,24.549792334768934,-66.12944685802015,-18.86530903730094,-1385723361.9410524,461830953.0721452,0
Road,261,3,-39.99941280239586,28.91495474137353,-72.46821965587519,-17.02653448668688,-440629541.61224943,165468391.5103447,0
Road,469,3,-40.66466117215213,31.79982377351271,-76.3106960124663,-15.209544293209431,-747174702.546949,227615511.4993728,0
Road,73,3,-40.98426586409826,27.635131618989735,-71.93837231740682,-18.792827344893563,-672281195.1444638,210279895.05961505,0
Road,775,3,-43.6420194067668,27.988465881794735,-74.9718860460152,-21.108038504575525,-1321957598.3833487,514163982.2118566,0
Road,201,3,-44.93266789240187,28.92477496562855,-77.31565073348787,-21.65955070176205,-1536582323.2614594,467218679.778388,0
Road,662,3,-46.27538575246812,30.05543740423217,-79.88346501649877,-21.974541888202033,-1504456127.4227002,715734359.7555202,0
Road,2,3,-46.99310469316547,35.78859833110274,-87.05375305385458,-18.1774455621248,-905340516.3874367,322427417.8934977,0
Road,689,3,-47.00260892799731,32.15841847760532,-82.99488738628328,-21.09566711525447,-1115701976.025784,365983225.78264815,0
Road,517,3,-56.14129703127751,41.757558651396664,-102.62120750455757,-21.792464879227204,-595717860.0207454,253366999.1821735,0
Road,351,3,-57.41141551590613,41.35059593746086,-103.76972400277491,-24.330129680719047,-1774090597.9101455,414758732.6346236,0
Road,249,3,-63.22531351385794,40.173924053827704,-108.20637147237929,-30.912743372912818,-1447317772.289653,448413283.422647,0
Road,887,3,-68.88671754073017,44.579607470117175,-118.82062656517705,-33.08948374570778,-555581501.907281,247393295.18868855,0
Road,531,3,-81.54218970152716,53.722221658176764,-141.68319944479128,-38.30463086229344,-1119872102.923702,452531700.11965203,0
Road,945,3,-116.20336804826047,78.56610879696679,-204.03710561718003,-52.625386375603114,-1362462263.7587402,616295077.2550797,0
