ID_edge,flow,capacity,ffs,length_m,fftt_min,scenario,case,development,flow_cap,link_tt_min,delay_min
61,4406.185049334274,2333.0,120.0,8361.831024084971,4.1809155120424855,scenario_19,dev109_scenario_19,109,1.8886348261184198,7.909185780735063,3.7282702686925777
68,4263.2745409963245,2335.0,119.0,8865.80644588534,4.470154510530423,scenario_19,dev28_scenario_19,28,1.825813507921338,8.19557565359073,3.7254211430603066
129,1944.7280430654096,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_26,dev267_scenario_26,267,2.66766535399919,5.7797042325676,3.7000078394176708
129,1944.283498034631,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_26,status_quo_scenario_26,status_quo,2.6670555528595763,5.778012857662862,3.698316464512933
129,1932.067851465305,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_26,dev28_scenario_26,28,2.650298836029225,5.731686891685602,3.651990498535673
174,4064.6942018337313,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_64,dev267_scenario_64,267,1.847588273560787,7.760405843506997,3.573277195111733
174,4063.4200199596817,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_64,status_quo_scenario_64,status_quo,1.8470090999816735,7.758165925235534,3.5710372768402703
68,4173.506571080048,2335.0,119.0,8865.80644588534,4.470154510530423,scenario_64,dev109_scenario_64,109,1.7873689811905988,8.040341613985637,3.570187103455214
68,4154.48032710749,2335.0,119.0,8865.80644588534,4.470154510530423,scenario_78,dev254_scenario_78,254,1.7792206968340427,8.00786416806727,3.5377096575368467
61,4291.395591300989,2333.0,120.0,8361.831024084971,4.1809155120424855,scenario_19,dev267_scenario_19,267,1.83943231517402,7.717459171365739,3.5365436593232538
61,4290.090382360721,2333.0,120.0,8361.831024084971,4.1809155120424855,scenario_19,status_quo_scenario_19,status_quo,1.8388728599917366,7.715308250367419,3.534392738324933
174,4037.870355045671,2200.0,100.0,6978.5477473254405,4.187128648395264,scenario_64,dev28_scenario_64,28,1.8353956159298506,7.713399711975546,3.526271063580282
61,4263.2745409963245,2333.0,120.0,8361.831024084971,4.1809155120424855,scenario_19,dev28_scenario_19,28,1.8273787145290719,7.671261857149107,3.4903463451066212
