development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
243,road_accident_cost,,standalone_annual_proxy,243,,91
243,road_airpollution_cost,,standalone_annual_proxy,243,,91
243,road_climate_cost,-688613.6489748929,standalone_annual_proxy,243,-0.688613648974893,91
243,road_co2_cost,,standalone_annual_proxy,243,,91
243,road_construction_cost,-11862438.202991318,standalone_annual_proxy,243,-11.862438202991317,91
243,road_ecological_disruption_cost,-2079518.918343028,standalone_annual_proxy,243,-2.079518918343028,91
243,road_land_consumption_cost,-303201.4588231789,standalone_annual_proxy,243,-0.3032014588231789,91
243,road_maint_cost,-6584098.933666738,standalone_annual_proxy,243,-6.584098933666738,91
243,road_noise_cost,-13213875.027465824,standalone_annual_proxy,243,-13.213875027465823,91
243,road_tts_cost,-2777881.210775377,standalone_annual_proxy,243,-2.7778812107753774,91
245,road_accident_cost,,standalone_annual_proxy,245,,108
245,road_airpollution_cost,,standalone_annual_proxy,245,,108
245,road_climate_cost,-315818.51993815554,standalone_annual_proxy,245,-0.3158185199381555,108
245,road_co2_cost,,standalone_annual_proxy,245,,108
245,road_construction_cost,-5669598.553976122,standalone_annual_proxy,245,-5.6695985539761224,108
245,road_ecological_disruption_cost,-647889.2046591948,standalone_annual_proxy,245,-0.6478892046591948,108
245,road_land_consumption_cost,-52390.538884960304,standalone_annual_proxy,245,-0.05239053888496031,108
245,road_maint_cost,-3444964.9766056845,standalone_annual_proxy,245,-3.4449649766056845,108
245,road_noise_cost,-26879516.35010324,standalone_annual_proxy,245,-26.87951635010324,108
245,road_tts_cost,-4905601.2243300015,standalone_annual_proxy,245,-4.905601224330002,108
249,road_accident_cost,,standalone_annual_proxy,249,,116
249,road_airpollution_cost,,standalone_annual_proxy,249,,116
249,road_climate_cost,-568517.8440282953,standalone_annual_proxy,249,-0.5685178440282953,116
249,road_co2_cost,,standalone_annual_proxy,249,,116
249,road_construction_cost,-5951777.612817527,standalone_annual_proxy,249,-5.951777612817526,116
249,road_ecological_disruption_cost,-1799157.2794257891,standalone_annual_proxy,249,-1.799157279425789,116
249,road_land_consumption_cost,-126189.56832589672,standalone_annual_proxy,249,-0.12618956832589673,116
249,road_maint_cost,-3652559.827668053,standalone_annual_proxy,249,-3.6525598276680533,116
249,road_noise_cost,-15767327.888513744,standalone_annual_proxy,249,-15.767327888513744,116
249,road_tts_cost,-5385646.362273902,standalone_annual_proxy,249,-5.385646362273902,116
25,road_accident_cost,,standalone_annual_proxy,25,,117
25,road_airpollution_cost,,standalone_annual_proxy,25,,117
25,road_climate_cost,-229397.5909474288,standalone_annual_proxy,25,-0.22939759094742881,117
25,road_co2_cost,,standalone_annual_proxy,25,,117
25,road_construction_cost,-3842050.365645922,standalone_annual_proxy,25,-3.842050365645922,117
25,road_ecological_disruption_cost,-749441.0232135275,standalone_annual_proxy,25,-0.7494410232135276,117
25,road_land_consumption_cost,-27799.760918590975,standalone_annual_proxy,25,-0.027799760918590974,117
25,road_maint_cost,-2146450.6436105366,standalone_annual_proxy,25,-2.1464506436105366,117
25,road_noise_cost,-26213575.413102664,standalone_annual_proxy,25,-26.213575413102664,117
25,road_tts_cost,-5451812.105507873,standalone_annual_proxy,25,-5.451812105507873,117
250,road_accident_cost,,standalone_annual_proxy,250,,19
250,road_airpollution_cost,,standalone_annual_proxy,250,,19
250,road_climate_cost,-449814.1391281492,standalone_annual_proxy,250,-0.4498141391281492,19
250,road_co2_cost,,standalone_annual_proxy,250,,19
250,road_construction_cost,-39033242.38441018,standalone_annual_proxy,250,-39.03324238441018,19
250,road_ecological_disruption_cost,-386189.5829639962,standalone_annual_proxy,250,-0.3861895829639962,19
250,road_land_consumption_cost,-171031.56157660272,standalone_annual_proxy,250,-0.1710315615766027,19
250,road_maint_cost,-19240286.715449188,standalone_annual_proxy,250,-19.240286715449187,19
250,road_noise_cost,-8636650.340494756,standalone_annual_proxy,250,-8.636650340494755,19
250,road_tts_cost,273666.60463793454,standalone_annual_proxy,250,0.2736666046379345,19
255,road_accident_cost,,standalone_annual_proxy,255,,64
255,road_airpollution_cost,,standalone_annual_proxy,255,,64
255,road_climate_cost,-113310.84828702678,standalone_annual_proxy,255,-0.11331084828702678,64
255,road_co2_cost,,standalone_annual_proxy,255,,64
255,road_construction_cost,-3527617.033737953,standalone_annual_proxy,255,-3.5276170337379527,64
255,road_ecological_disruption_cost,-273438.5229790495,standalone_annual_proxy,255,-0.27343852297904947,64
255,road_land_consumption_cost,-5242.929282367978,standalone_annual_proxy,255,-0.005242929282367978,64
255,road_maint_cost,-1920036.121753157,standalone_annual_proxy,255,-1.920036121753157,64
255,road_noise_cost,-7045594.961232118,standalone_annual_proxy,255,-7.045594961232118,64
255,road_tts_cost,-501015.50825388794,standalone_annual_proxy,255,-0.501015508253888,64
261,road_accident_cost,,standalone_annual_proxy,261,,88
261,road_airpollution_cost,,standalone_annual_proxy,261,,88
261,road_climate_cost,-117059.17776759356,standalone_annual_proxy,261,-0.11705917776759356,88
261,road_co2_cost,,standalone_annual_proxy,261,,88
261,road_construction_cost,-3223784.9981453894,standalone_annual_proxy,261,-3.223784998145389,88
261,road_ecological_disruption_cost,-378643.4407177837,standalone_annual_proxy,261,-0.3786434407177837,88
261,road_land_consumption_cost,-52468.739541825504,standalone_annual_proxy,261,-0.0524687395418255,88
261,road_maint_cost,-1704693.9771062352,standalone_annual_proxy,261,-1.7046939771062353,88
261,road_noise_cost,-4601997.834202288,standalone_annual_proxy,261,-4.601997834202288,88
261,road_tts_cost,-2305098.1846053223,standalone_annual_proxy,261,-2.3050981846053222,88
267,road_accident_cost,,standalone_annual_proxy,267,,37
267,road_airpollution_cost,,standalone_annual_proxy,267,,37
267,road_climate_cost,-181216.00052623375,standalone_annual_proxy,267,-0.18121600052623374,37
267,road_co2_cost,,standalone_annual_proxy,267,,37
267,road_construction_cost,-3576878.303255891,standalone_annual_proxy,267,-3.576878303255891,37
267,road_ecological_disruption_cost,-590407.1118088925,standalone_annual_proxy,267,-0.5904071118088925,37
267,road_land_consumption_cost,-12562.03479726749,standalone_annual_proxy,267,-0.01256203479726749,37
267,road_maint_cost,-1956982.6053067583,standalone_annual_proxy,267,-1.9569826053067583,37
267,road_noise_cost,-10742678.877847726,standalone_annual_proxy,267,-10.742678877847725,37
267,road_tts_cost,20189.95223863587,standalone_annual_proxy,267,0.02018995223863587,37
27,road_accident_cost,,standalone_annual_proxy,27,,112
27,road_airpollution_cost,,standalone_annual_proxy,27,,112
27,road_climate_cost,-214263.38862385572,standalone_annual_proxy,27,-0.21426338862385572,112
27,road_co2_cost,,standalone_annual_proxy,27,,112
27,road_construction_cost,-3758757.8132895664,standalone_annual_proxy,27,-3.7587578132895665,112
27,road_ecological_disruption_cost,-699487.2676303958,standalone_annual_proxy,27,-0.6994872676303958,112
27,road_land_consumption_cost,-27506.100581844938,standalone_annual_proxy,27,-0.02750610058184494,112
27,road_maint_cost,-2086937.2983582704,standalone_annual_proxy,27,-2.0869372983582704,112
27,road_noise_cost,-24257895.803687997,standalone_annual_proxy,27,-24.257895803687997,112
27,road_tts_cost,-5120282.318797795,standalone_annual_proxy,27,-5.120282318797795,112
270,road_accident_cost,,standalone_annual_proxy,270,,62
270,road_airpollution_cost,,standalone_annual_proxy,270,,62
270,road_climate_cost,-151280.649894981,standalone_annual_proxy,270,-0.151280649894981,62
270,road_co2_cost,,standalone_annual_proxy,270,,62
270,road_construction_cost,-11076130.46524842,standalone_annual_proxy,270,-11.07613046524842,62
270,road_ecological_disruption_cost,-251781.02281885865,standalone_annual_proxy,270,-0.25178102281885867,62
270,road_land_consumption_cost,-7619.544151958515,standalone_annual_proxy,270,-0.007619544151958515,62
270,road_maint_cost,-5493731.5520326225,standalone_annual_proxy,270,-5.493731552032623,62
