development,scenario,delta_vkm_peak_hour,delta_vkm_peak_hour_new_link,delta_vkm_peak_hour_existing_network,delta_vkm_peak_hour_noise_relevant,road_accident_cost_annual,road_airpollution_cost_annual,road_co2_cost_annual,road_noise_cost_annual,road_land_consumption_cost,pop_50m_sum,empl_50m_sum,mean_surface_share,mean_settlement_buffer_share,mean_noise_relevant_share,delta_vkm_annualized,delta_vkm_annualized_noise_relevant
2,scenario_78,13676.998203037518,7267.084222082605,6409.913980954912,3435.6275488729775,721547.1364489981,159166.0665878491,179938.00760871236,31994.281548879604,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,8548123.876898449,2147267.218045611
2,scenario_89,8436.490932178966,4486.941568032247,3949.5493641467183,2118.6134554367027,445077.62474076654,98179.66322323272,110992.5838264795,19729.587803754293,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,5272806.832611853,1324133.4096479393
2,scenario_96,8956.329145535336,4763.452557248777,4192.876588286559,2249.1977323401707,472502.3394841486,104229.28043116748,117831.70532094926,20945.65388241784,162109.1619476834,7307.33067641003,5441.998223614759,0.8069739402204477,0.3292180757990539,0.2613587253785904,5597705.715959584,1405748.5827126068
12,scenario_100,3207.3816337788585,3737.0272632581696,-529.6456294793111,680.8280081685053,169209.42731704592,37325.903763101465,42197.11461940311,6340.210826069207,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,2004613.5211117864,425517.5051053158
12,scenario_19,4846.2070930285245,5635.799892847982,-789.5927998194575,1029.9465627747377,255667.7129515861,56397.735045119465,63757.91206765652,9591.377365839742,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,3028879.433142828,643716.6017342109
12,scenario_26,2187.542151968734,2553.2034694887748,-365.66131752004105,463.8125648586913,115406.5206548005,25457.521793536136,28779.851436838653,4319.254510246563,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,1367213.8449804587,289882.85303668206
12,scenario_44,3705.880983940507,4315.64635952737,-609.7653755868627,786.9526806493814,195508.38365901136,43127.18995060765,48755.496694967296,7328.496838547362,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,2316175.614962817,491845.4254058633
12,scenario_64,4596.976397745871,5348.597027620872,-751.6206298750012,976.7958576799264,242519.23608358065,53497.31282876757,60478.97073284411,9096.411424644311,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,2873110.2485911692,610497.411049954
12,scenario_70,3022.979245248405,3522.479503161714,-499.50025791330904,641.5993462278627,159481.04880713616,35179.92096657832,39771.07069529933,5974.893911746971,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,1889362.028280253,400999.5913924142
12,scenario_75,3714.15825652594,4325.250119873853,-611.0918633479126,788.7228993265965,195945.06152084665,43223.51671032063,48864.3945624194,7344.981999978928,298979.3075733272,7750.640335472461,6104.861520210668,0.8069739402204477,0.3293159288653131,0.2614565784448496,2321348.9103287123,492951.8120791228
