development,scenario,tts_minutes,component
356,scenario_64,-23053.402265267912,total
358,scenario_64,-27627.49826102052,total
390,scenario_64,-21265.051137666916,total
392,scenario_64,1000.3091188761172,total
394,scenario_64,-220.78173479728864,total
423,scenario_64,15440.19921999157,total
459,scenario_64,-5222.106874473393,total
464,scenario_64,20.449142914731055,total
469,scenario_64,-19347.41670324502,total
486,scenario_64,-31545.468599934247,total
493,scenario_64,78.15416850498877,total
499,scenario_64,-25004.646658155485,total
517,scenario_64,-834.7914385492913,total
521,scenario_64,-53193.61294388899,total
531,scenario_64,-29203.167863654555,total
533,scenario_64,-1573.759557000827,total
538,scenario_64,1969.3315848212224,total
540,scenario_64,5803.409077972523,total
546,scenario_64,-4879.967477675993,total
550,scenario_64,1767.6417429003632,total
552,scenario_64,-11656.58106230048,total
556,scenario_64,-4381.381508325459,total
558,scenario_64,-22904.25500424567,total
564,scenario_64,-28727.46206795075,total
565,scenario_64,105.01857577019835,total
569,scenario_64,3703.989007670083,total
594,scenario_64,-1474.9110911118332,total
602,scenario_64,-409.1019034198253,total
612,scenario_64,-60661.838973734295,total
614,scenario_64,-4699.6458795527,total
625,scenario_64,-4334.704197784071,total
627,scenario_64,970.2683556859848,total
628,scenario_64,-8760.56595932704,total
629,scenario_64,-2257.43390789337,total
648,scenario_64,-1970.2962820359971,total
662,scenario_64,-50059.60248261271,total
669,scenario_64,14008.571839101844,total
670,scenario_64,433.42023218260147,total
673,scenario_64,7041.12810946384,total
678,scenario_64,-26447.401172711863,total
680,scenario_64,-6.253205621032976,total
682,scenario_64,-22916.957461780403,total
689,scenario_64,-31199.93467301363,total
694,scenario_64,5054.906955720624,total
726,scenario_64,-8390.860127251479,total
736,scenario_64,-181.80065078067128,total
750,scenario_64,-31944.44858560292,total
755,scenario_64,1407.3779863595264,total
759,scenario_64,-58913.19500968116,total
761,scenario_64,8480.37457424635,total
764,scenario_64,-3094.856286936556,total
767,scenario_64,6555.302044779994,total
770,scenario_64,3775.357411696692,total
775,scenario_64,-35287.05813320284,total
776,scenario_64,-13055.627656301018,total
780,scenario_64,1944.698849315988,total
789,scenario_64,-26024.877738428768,total
791,scenario_64,-6017.235853333492,total
809,scenario_64,-6357.136303300969,total
810,scenario_64,-1959.4386918575035,total
811,scenario_64,-344.41236536740325,total
813,scenario_64,14216.464573589852,total
822,scenario_64,-3721.95971022069,total
831,scenario_64,-9167.446876701782,total
837,scenario_64,584.5511787738651,total
858,scenario_64,-1849.15717736003,total
863,scenario_64,809.014782118611,total
866,scenario_64,-2772.2790475133806,total
873,scenario_64,-30020.27918602503,total
878,scenario_64,-6667.073427516501,total
887,scenario_64,-16117.65357136028,total
895,scenario_64,-27185.920883877552,total
935,scenario_64,-5311.792657023878,total
938,scenario_64,12687.577085101975,total
940,scenario_64,-4573.64778479212,total
945,scenario_64,-42344.75344221608,total
952,scenario_64,-26173.193398594856,total
958,scenario_64,2180.6789855795214,total
964,scenario_64,235.39222901989703,total
970,scenario_64,-9174.674300236396,total
971,scenario_64,-319.8685569842346,total
987,scenario_64,-179.3869914941024,total
0,scenario_70,4243.679076066241,total
2,scenario_70,-8733.328256932495,total
12,scenario_70,-1003.0109958337852,total
15,scenario_70,3050.3746832199977,total
17,scenario_70,-4586.638595919125,total
25,scenario_70,-10285.326926449954,total
27,scenario_70,-9723.265297354084,total
28,scenario_70,-2108.8257105525117,total
57,scenario_70,3300.415556711494,total
62,scenario_70,695.1314217601903,total
63,scenario_70,-10890.162020108604,total
73,scenario_70,-4583.652785123617,total
90,scenario_70,46.82367632287787,total
94,scenario_70,86.84037264721701,total
103,scenario_70,-9585.478343436143,total
104,scenario_70,82.17214769567363,total
109,scenario_70,-19376.72118692251,total
114,scenario_70,-424.615667379403,total
126,scenario_70,-11154.21292883507,total
140,scenario_70,-197.10496055806288,total
143,scenario_70,-75.58393193717347,total
144,scenario_70,-8362.713357028319,total
150,scenario_70,-8288.074390610622,total
176,scenario_70,1828.6278865445056,total
