mode,development,scenario,tts_annual_chf,cost_annual_chf_negative,cost_annual_chf_magnitude,bcr
Rail,100000,scenario_99,9489549.093251524,-1329118.6567644724,1329118.6567644724,7.139730561267058
Rail,100001,scenario_1,22320396.497709937,-1733979.1735291178,1733979.1735291178,12.872355584457152
Rail,100001,scenario_10,22189742.00216962,-1733979.1735291178,1733979.1735291178,12.797006066115244
Rail,100001,scenario_100,13460561.448117351,-1733979.1735291178,1733979.1735291178,7.762816101603723
Rail,100001,scenario_11,16896343.969394162,-1733979.1735291178,1733979.1735291178,9.744260039182317
Rail,100001,scenario_12,27466362.702519976,-1733979.1735291178,1733979.1735291178,15.84007646794193
Rail,100001,scenario_13,17352492.85406535,-1733979.1735291178,1733979.1735291178,10.007324839287616
Rail,100001,scenario_14,19119917.81415006,-1733979.1735291178,1733979.1735291178,11.0266132984953
Rail,100001,scenario_15,13226546.472890137,-1733979.1735291178,1733979.1735291178,7.627857747547526
Rail,100001,scenario_16,20662289.778529663,-1733979.1735291178,1733979.1735291178,11.916111850684054
Rail,100001,scenario_17,20912022.14172005,-1733979.1735291178,1733979.1735291178,12.060134551188648
Rail,100001,scenario_18,10908929.598110536,-1733979.1735291178,1733979.1735291178,6.291269102101097
Rail,100001,scenario_19,16611085.508635305,-1733979.1735291178,1733979.1735291178,9.579749147059962
Rail,100001,scenario_2,10952431.804548578,-1733979.1735291178,1733979.1735291178,6.316357181071218
Rail,100001,scenario_20,23499228.431689475,-1733979.1735291178,1733979.1735291178,13.552197621763918
Rail,100001,scenario_21,21146366.28612281,-1733979.1735291178,1733979.1735291178,12.19528273980605
Rail,100001,scenario_22,17260679.41123613,-1733979.1735291178,1733979.1735291178,9.954375274361553
Rail,100001,scenario_23,11767403.933224129,-1733979.1735291178,1733979.1735291178,6.786358286688225
Rail,100001,scenario_24,22443664.738055676,-1733979.1735291178,1733979.1735291178,12.943445388895146
Rail,100001,scenario_25,17527259.823401466,-1733979.1735291178,1733979.1735291178,10.108114382786235
Rail,100001,scenario_26,10764029.503012275,-1733979.1735291178,1733979.1735291178,6.207704029745961
Rail,100001,scenario_27,15519866.413811408,-1733979.1735291178,1733979.1735291178,8.950434152115143
Rail,100001,scenario_28,7780195.215104214,-1733979.1735291178,1733979.1735291178,4.486902342240597
Rail,100001,scenario_29,19644158.922918648,-1733979.1735291178,1733979.1735291178,11.328947442279516
Rail,100001,scenario_3,18751055.759042725,-1733979.1735291178,1733979.1735291178,10.813887528348591
Rail,100001,scenario_30,17962578.108007256,-1733979.1735291178,1733979.1735291178,10.359166005119045
Rail,100001,scenario_31,20488685.223301303,-1733979.1735291178,1733979.1735291178,11.815992680927806
Rail,100001,scenario_32,21733336.54379069,-1733979.1735291178,1733979.1735291178,12.533793297849972
Rail,100001,scenario_33,15523548.164155528,-1733979.1735291178,1733979.1735291178,8.952557447711957
Rail,100001,scenario_34,25270021.261348102,-1733979.1735291178,1733979.1735291178,14.573428358955868
Rail,100001,scenario_35,20665135.65280318,-1733979.1735291178,1733979.1735291178,11.917753089700625
Rail,100001,scenario_36,17408036.792216066,-1733979.1735291178,1733979.1735291178,10.039357483623053
