development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
101021,rail_tts_cost,2648090.08772303,standalone_annual_proxy,X21 (101021),2.6480900877230296,28
101022,rail_accident_cost,,standalone_annual_proxy,X22 (101022),,29
101022,rail_airpollution_cost,,standalone_annual_proxy,X22 (101022),,29
101022,rail_co2_cost,,standalone_annual_proxy,X22 (101022),,29
101022,rail_construction_cost,1583300.0,standalone_annual_proxy,X22 (101022),1.5833,29
101022,rail_land_consumption_cost,,standalone_annual_proxy,X22 (101022),,29
101022,rail_maint_cost,1234974.0,standalone_annual_proxy,X22 (101022),1.234974,29
101022,rail_noise_cost,,standalone_annual_proxy,X22 (101022),,29
101022,rail_operation_cost,14714211.479903823,standalone_annual_proxy,X22 (101022),14.714211479903822,29
101022,rail_tts_cost,2183049.626208551,standalone_annual_proxy,X22 (101022),2.1830496262085513,29
101023,rail_accident_cost,,standalone_annual_proxy,X23 (101023),,2
101023,rail_airpollution_cost,,standalone_annual_proxy,X23 (101023),,2
101023,rail_co2_cost,,standalone_annual_proxy,X23 (101023),,2
101023,rail_construction_cost,1583300.0,standalone_annual_proxy,X23 (101023),1.5833,2
101023,rail_land_consumption_cost,,standalone_annual_proxy,X23 (101023),,2
101023,rail_maint_cost,1234974.0,standalone_annual_proxy,X23 (101023),1.234974,2
101023,rail_noise_cost,,standalone_annual_proxy,X23 (101023),,2
101023,rail_operation_cost,15720251.003409136,standalone_annual_proxy,X23 (101023),15.720251003409135,2
101023,rail_tts_cost,12466620.549713746,standalone_annual_proxy,X23 (101023),12.466620549713745,2
101024,rail_accident_cost,,standalone_annual_proxy,X24 (101024),,12
101024,rail_airpollution_cost,,standalone_annual_proxy,X24 (101024),,12
101024,rail_co2_cost,,standalone_annual_proxy,X24 (101024),,12
101024,rail_construction_cost,1583300.0,standalone_annual_proxy,X24 (101024),1.5833,12
101024,rail_land_consumption_cost,,standalone_annual_proxy,X24 (101024),,12
101024,rail_maint_cost,1234974.0,standalone_annual_proxy,X24 (101024),1.234974,12
101024,rail_noise_cost,,standalone_annual_proxy,X24 (101024),,12
101024,rail_operation_cost,15838427.061850354,standalone_annual_proxy,X24 (101024),15.838427061850354,12
101024,rail_tts_cost,6254887.934523558,standalone_annual_proxy,X24 (101024),6.254887934523558,12
101025,rail_accident_cost,,standalone_annual_proxy,X25 (101025),,30
101025,rail_airpollution_cost,,standalone_annual_proxy,X25 (101025),,30
101025,rail_co2_cost,,standalone_annual_proxy,X25 (101025),,30
101025,rail_construction_cost,1583300.0,standalone_annual_proxy,X25 (101025),1.5833,30
101025,rail_land_consumption_cost,,standalone_annual_proxy,X25 (101025),,30
101025,rail_maint_cost,1234974.0,standalone_annual_proxy,X25 (101025),1.234974,30
101025,rail_noise_cost,,standalone_annual_proxy,X25 (101025),,30
101025,rail_operation_cost,9194299.763564669,standalone_annual_proxy,X25 (101025),9.194299763564668,30
