development,scenario,status_quo_origin_access_tt,status_quo_network_tt,status_quo_destination_access_tt,status_quo_total_tt,development_origin_access_tt,development_network_tt,development_destination_access_tt,development_total_tt,origin_access_savings,network_savings,destination_access_savings,tt_savings_peak,monetized_savings_yearly,monetized_savings,access_savings,total_tts,network_share,total_tts_mmin,network_savings_mmin,access_savings_mmin
662,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,28002.001983643404,1156302.8112404896,28002.001983643408,1212306.8152077766,663.4330848616264,-67556.90406962205,663.4330848616228,-66230.03789989883,-21662741.563091908,-866509662.5236763,1326.8661697232492,-66230.03789989883,1.0200342052004963,-0.06623003789989883,-0.06755690406962205,0.0013268661697232492
689,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27380.046960122792,1123968.07317917,27380.0469601228,1178728.1670994158,1285.388108382238,-35222.16600830248,1285.3881083822343,-32651.389791538008,-10679725.410982223,-427189016.4392889,2570.7762167644723,-32651.389791538008,1.078734051848253,-0.032651389791538005,-0.03522216600830248,0.002570776216764472
750,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27765.899974362736,1134438.8639510584,27765.899974362736,1189970.6638997835,899.5350941422948,-45692.95678019081,899.5350941422948,-43893.88659190596,-14356958.739435907,-574278349.5774363,1799.0701882845897,-43893.88659190596,1.040986805406669,-0.04389388659190596,-0.045692956780190815,0.0017990701882845896
775,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27964.501102432936,1138492.965761513,27964.50110243293,1194421.967966379,700.9339660720943,-49747.05859064544,700.933966072098,-48345.19065850088,-15812906.111217996,-632516244.4487199,1401.8679321441923,-48345.19065850088,1.0289970504418327,-0.048345190658500875,-0.049747058590645446,0.0014018679321441923
789,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27095.017096628588,1114922.0932173133,27095.017096628584,1169112.1274105706,1570.4179718764426,-26176.186046445742,1570.4179718764462,-23035.35010269284,-7534479.096089117,-301379163.8435647,3140.835943752889,-23035.35010269284,1.1363485221518617,-0.02303535010269284,-0.026176186046445744,0.003140835943752889
895,scenario_38,28665.43506850503,1088745.9071708675,28665.43506850503,1146076.7773078778,27069.665743880825,1122330.3803736889,27069.66574388082,1176469.7118614507,1595.7693246242052,-33584.47320282133,1595.7693246242088,-30392.934553572908,-9941022.343564471,-397640893.74257886,3191.538649248414,-30392.934553572908,1.105009229813685,-0.03039293455357291,-0.03358447320282133,0.003191538649248414
2,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,26722.97547813803,687112.4144875462,26722.975478138025,740558.3654438223,1942.4595902133117,-15919.03351021139,1942.459590213315,-12034.114329784876,-3936158.2287004697,-157446329.14801878,3884.9191804266266,-12034.114329784876,1.3228255170229848,-0.012034114329784875,-0.01591903351021139,0.0038849191804266265
103,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,26826.8816678174,687715.4508972148,26826.8816678174,741369.2142328495,1838.55340053394,-16522.069919880014,1838.5534005339432,-12844.96311881207,-4201373.353444781,-168054934.13779125,3677.106801067883,-12844.96311881207,1.286268381392442,-0.012844963118812069,-0.016522069919880013,0.0036771068010678833
201,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,27762.27512833609,696498.6281848876,27762.27512833609,752023.1784415597,903.159940015248,-25305.247207552777,903.159940015248,-23498.927327522197,-7686107.480043717,-307444299.20174867,1806.319880030496,-23498.927327522197,1.0768681844432533,-0.023498927327522196,-0.025305247207552777,0.001806319880030496
249,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,27780.552728841965,696039.8455900992,27780.55272884197,751600.9510477833,884.882339509375,-24846.464612764423,884.8823395093714,-23076.699933745786,-7548003.936662682,-301920157.4665073,1769.7646790187464,-23076.699933745786,1.0766905443195824,-0.023076699933745785,-0.02484646461276442,0.0017697646790187465
334,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,28288.59519394642,657388.023658979,28288.59519394642,713965.2140468718,376.8398744049191,13805.357318355818,376.8398744049191,14559.037067165717,4762018.374052119,190480734.96208477,753.6797488098382,14559.037067165717,0.9482328573426305,0.014559037067165716,0.013805357318355818,0.0007536797488098382
469,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,27050.160665382144,682525.8286047524,27050.16066538214,736626.1499355168,1615.274402969197,-11332.447627417629,1615.2744029692003,-8101.898821479292,-2649996.0728588514,-105999842.91435406,3230.548805938397,-8101.898821479292,1.398739712396024,-0.008101898821479292,-0.011332447627417629,0.003230548805938397
662,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,28002.001983614573,707837.0835701526,28002.001983614573,763841.0875373817,663.4330847367673,-36643.70259281784,663.4330847367673,-35316.83642334421,-11551548.580135502,-462061943.2054201,1326.8661694735347,-35316.83642334421,1.037570357479601,-0.03531683642334421,-0.036643702592817844,0.0013268661694735347
689,scenario_39,28665.43506835134,671193.3809773348,28665.43506835134,728524.2511140375,27380.046959600848,690416.9226304388,27380.04695960085,745177.0165496406,1285.3881087504924,-19223.54165310401,1285.3881087504888,-16652.765435603098,-5446842.02789518,-217873681.1158072,2570.776217500981,-16652.765435603098,1.1543753334809288,-0.0166527654356031,-0.01922354165310401,0.002570776217500981
