run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
8iter_5scen_4dev_test_1547628,development,254,scenario_26,930,4269.2836217228,36.87012684473657,41.76330006358617,49.57803837738571,55.20814227331888,38.229704122573544,13.215024795168882
8iter_5scen_4dev_test_1547628,development,254,scenario_44,930,7201.796258827181,56.7657273825415,64.64832919850627,73.69061767030671,79.82486445499741,58.0099613679137,19.95605373739409
8iter_5scen_4dev_test_1547628,development,254,scenario_64,930,8912.050500429017,36.64116449737691,42.78397855637084,59.63778287163021,71.94565744869097,41.90147196637921,19.29919255654438
8iter_5scen_4dev_test_1547628,development,254,scenario_78,930,9768.76621583745,43.89202129554777,52.89415192651642,69.56849432984906,83.04592949966222,50.38798952069606,22.909655731750178
8iter_5scen_4dev_test_1547628,development,267,scenario_19,992,10070.325350513387,46.171537688986795,55.926777470261456,73.82383015554213,86.25121385478734,53.21097278070452,23.965412548524682
8iter_5scen_4dev_test_1547628,development,267,scenario_26,992,4570.5612096499935,38.317484019862555,43.340035080388894,51.165195500628485,56.6281821839933,39.63381559588762,13.531308578895516
8iter_5scen_4dev_test_1547628,development,267,scenario_44,992,7710.426793717192,51.94591215815874,57.46878163567645,71.98822915170209,120.87379499607493,55.97669770126771,20.247771480997923
8iter_5scen_4dev_test_1547628,development,267,scenario_64,992,9541.856125690309,41.353656996130745,50.24429213091679,67.29870148414501,80.03103411919675,48.40528235373833,22.302126908188768
8iter_5scen_4dev_test_1547628,development,267,scenario_78,992,10459.012432458003,53.15623444575137,64.8720440801649,82.7902552238511,95.00393401485645,61.13822204433289,25.98394154991537
8iter_5scen_4dev_test_1547628,development,28,scenario_19,992,10131.425515891278,46.47088727601416,56.66246553072892,76.80991878753503,85.92186238499934,52.978382394873144,24.29247185713801
8iter_5scen_4dev_test_1547628,development,28,scenario_26,992,4598.088676033247,38.5595250639491,43.21171471410745,52.53918972254162,60.107916139688584,40.08027285029823,13.763883814423242
8iter_5scen_4dev_test_1547628,development,28,scenario_44,992,7757.230992909386,53.67293944257248,59.66669257017321,74.63461954415035,117.21404936174261,57.28802314362546,20.38037535540425
8iter_5scen_4dev_test_1547628,development,28,scenario_64,992,9600.117131298472,42.185709104209074,51.87265209978437,70.92085974650765,80.40275699184005,49.01143065693211,22.8076887791256
8iter_5scen_4dev_test_1547628,development,28,scenario_78,992,10522.79949059171,53.64527731024665,65.9324956207025,86.02399249771169,95.08268333515785,61.129466121296666,26.24912762611811
