development,scenario_count,mean_delta_vkm_annualized,median_delta_vkm_annualized,std_delta_vkm_annualized,mean_delta_vkm_peak_hour,median_delta_vkm_peak_hour,std_delta_vkm_peak_hour
73,10,2388219.7713947752,2276788.677145439,590597.2265960174,3821.1516342316404,3642.861883432703,944.9555625536282
736,10,47871.39418058945,47796.30502560253,4341.9423192809645,76.59423068894311,76.47408804096403,6.947107710849538
750,10,7402199.35060993,7058134.176894421,1822316.099924143,11843.518960975887,11293.014683031073,2915.7057598786287
755,10,2033244.4023178846,1939705.5365002088,496440.33129950234,3253.1910437086153,3103.528858400334,794.3045300792038
759,10,10594129.929068737,10102780.370139495,2608841.8268630593,16950.607886509977,16164.44859222319,4174.146922980895
761,10,-29183.17113108827,-27887.350924775586,12222.803091038946,-46.693073809741236,-44.61976147964094,19.556484945662312
764,10,3713667.6216630014,3540926.552192212,916552.224408284,5941.868194660802,5665.48248350754,1466.4835590532537
767,10,-19347.838170941635,-18391.87955481947,11071.8344286646,-30.956541073506617,-29.42700728771115,17.71493508586336
770,10,128151.22755651004,121965.46294236326,27048.7765710869,205.04196409041606,195.1447407077812,43.27804251373903
775,10,6979705.630995907,6655282.580701626,1719010.6790186572,11167.52900959345,10648.452129122601,2750.417086429852
776,10,1790080.268156541,1706462.0319664313,446816.68405631895,2864.1284290504655,2730.33925114629,714.9066944901103
