development,component,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,n_positive,n_negative
176,network,10,5380.406143827393,3583.475904398889,4620.47379616073,398.75182318891166,13592.81718649785,10,0
176,origin_access,10,23.71293790823547,22.591839695371164,5.603148946351028,14.543524245455046,32.08921880715934,10,0
176,total,10,5224.596468234437,3434.8291163288523,4583.06055227423,306.1973116915615,13378.687503176045,10,0
177,access_only,10,-113.20153957350666,-108.00028953635956,27.99194916537736,-155.42122753008152,-67.37875877999977,0,10
177,destination_access,10,-40.12220191208216,-38.309008662427004,10.068809829195937,-55.371304892367334,-23.640735615790614,0,10
177,network,10,604.3973338911426,421.50604991504224,481.9514036845556,70.89978785684798,1454.6081444394076,10,0
177,origin_access,10,-73.0793376614245,-69.69128087393256,17.924464885133638,-100.0499226377142,-43.73802316420915,0,10
177,total,10,491.19579431762975,313.50576037864084,454.814329638046,3.521029076859122,1299.1869169094134,10,0
195,access_only,10,419.8619928361744,400.49659078413424,103.47770962734289,250.49055216089073,575.7970127685549,10,0
195,destination_access,10,293.16253922941394,279.43410725241483,71.26129343375275,176.52952852989256,400.10374989075353,10,0
195,network,10,-15997.258277737375,-12231.239672010706,10337.416728939721,-34066.02034900733,-4059.354143286502,0,10
195,origin_access,10,126.69945360676047,121.06248353171941,32.23347589046292,73.96102363099817,175.69326287780132,10,0
195,total,10,-15577.396284901222,-11830.743081226654,10236.460484678175,-33490.22333623888,-3808.863591125584,0,10
197,access_only,10,426.04994872046956,406.183143780303,103.95904979527026,255.89436970505267,582.2461580145246,10,0
197,destination_access,10,231.74488928074425,220.92041180074375,56.455898900643966,139.34086380326335,316.52540766340826,10,0
197,network,10,-1972.6510338483408,-1583.0594123075134,1111.3721520016188,-3894.408571290784,-640.2557905512222,0,10
197,origin_access,10,194.3050594397253,185.26273197955925,47.503275627536304,116.55350590178932,265.7207503511163,10,0
197,total,10,-1546.6010851278581,-1176.8762685272377,1009.7071155702067,-3312.1624132762663,-384.36142084616586,0,10
2,access_only,10,1420.336985087481,1354.8128382037303,350.02837332190165,847.4157613948191,1947.8180381878813,10,0
2,destination_access,10,582.7158702346608,555.5496804563991,142.21745208774016,349.94083377167226,796.4101790929308,10,0
2,network,10,-18346.076690741127,-14225.163787413156,11425.345551901408,-38255.40294163278,-5019.888877701771,0,10
2,origin_access,10,837.6211148528203,799.2631577473312,207.8194366723494,497.47492762314687,1151.4078590949505,10,0
2,total,10,-16925.739705653647,-12870.350949209445,11083.642085253336,-36307.58490344486,-4172.473116306937,0,10
201,access_only,10,707.154546394848,674.406802649044,173.99105173151725,422.3690029655354,969.1233652792725,10,0
201,destination_access,10,53.20052706312399,50.65292095821496,12.678792549525435,32.458548205451734,72.10067062050075,10,0
201,network,10,-20735.461036035795,-16055.06330916597,12963.734642863448,-43331.967186188325,-5629.727923302649,0,10
201,origin_access,10,653.954019331724,623.7538816908291,161.3171585327627,389.91045476008367,897.0226946587718,10,0
201,total,10,-20028.306489640927,-15380.656506516942,12793.808391561814,-42362.84382090904,-5207.358920337108,0,10
202,access_only,10,105.28131379669722,100.49236156205006,26.265662565759648,62.29089081335405,144.98860489128492,10,0
202,destination_access,10,134.47472929726936,128.10534429861764,32.342905453354746,81.54639291754575,182.8424583772612,10,0
202,network,10,-7662.772929029199,-5964.676234874001,4720.886527961352,-15881.836319756228,-2140.8584137337457,0,10
202,origin_access,10,-29.193415500572154,-27.890836447093534,6.149098089946223,-38.89482050443257,-19.25550210419169,0,10
202,total,10,-7557.491615232479,-5864.183873311937,4695.232309073736,-15736.847714864882,-2078.567522920406,0,10
206,access_only,10,383.6964145495396,365.7674484018644,93.4421150894539,230.7565291384817,524.0035317864895,10,0
206,destination_access,10,158.79623709297886,151.42124390037134,38.915327317383976,95.1028498517262,217.35216220941948,10,0
206,network,10,-102.61255044419667,-230.77667083963752,269.4158071463689,-311.590250922658,402.00536079797894,3,7
206,origin_access,10,224.90017745656078,214.34620450149305,54.527804328888486,135.6536792867555,306.65136957707,10,0
206,total,10,281.08386410535024,134.99077756219776,358.02168981580235,-80.8337217841472,926.008892584592,9,1
209,access_only,10,-330.23590681872577,-315.06692107957497,81.69787532912078,-453.5147899262629,-196.53320205869204,0,10
209,destination_access,10,-106.95483414831033,-102.07571824166553,26.661250278070067,-147.26838182663414,-63.33042506923448,0,10
209,network,10,962.1045121342875,210.45901985504312,1762.3223855773906,-718.2653807740426,4175.321019680705,5,5
209,origin_access,10,-223.28107267041543,-212.99120283790944,55.03725552397343,-306.24640809962875,-133.20277698945756,0,10
209,total,10,631.8686053155398,-104.60790122457547,1684.560674208221,-914.7985828327364,3721.806229754351,5,5
