development,scenario,tts_annual,access_only_minutes,cost_annual,mode,value_mode,cost_annual_negative,net_annual
195,scenario_26,70059.07630749913,250.49055216089073,-17524146.548657246,Road,access_only_integrated_proxy,17524146.548657246,17594205.624964744
195,scenario_44,118529.3613493928,423.7921299643094,-17289008.1135996,Road,access_only_integrated_proxy,17289008.1135996,17407537.47494899
195,scenario_64,146987.2293140892,525.5409316257937,-17151294.186638765,Road,access_only_integrated_proxy,17151294.186638765,17298281.415952854
195,scenario_70,96678.76140446166,345.6670798818741,-17394674.248912685,Road,access_only_integrated_proxy,17394674.248912685,17491353.010317147
195,scenario_75,118798.74705579066,424.75529673578785,-17287764.297189128,Road,access_only_integrated_proxy,17287764.297189128,17406563.04424492
195,scenario_78,161043.2270087052,575.7970127685549,-17082740.51075677,Road,access_only_integrated_proxy,17082740.51075677,17243783.737765472
195,scenario_89,99317.45333471333,355.1015091297013,-17382403.76715246,Road,access_only_integrated_proxy,17382403.76715246,17481721.22048717
195,scenario_96,105498.4191204823,377.20105160395906,-17352592.379351504,Road,access_only_integrated_proxy,17352592.379351504,17458090.798471987
197,scenario_100,104356.13436375519,373.11690498772805,-13758678.201697068,Road,access_only_integrated_proxy,13758678.201697068,13863034.336060824
197,scenario_19,157169.5656141221,561.9470502404365,-13704750.813818038,Road,access_only_integrated_proxy,13704750.813818038,13861920.37943216
197,scenario_26,71570.45652688191,255.89436970505267,-13792123.819404574,Road,access_only_integrated_proxy,13792123.819404574,13863694.275931455
197,scenario_44,120310.64775410623,430.1609752102122,-13742405.657425418,Road,access_only_integrated_proxy,13742405.657425418,13862716.305179525
197,scenario_64,148492.58970613423,530.9232257649492,-13713500.989569668,Road,access_only_integrated_proxy,13713500.989569668,13861993.579275802
197,scenario_70,98625.74835168928,352.6283739948667,-13764552.810118992,Road,access_only_integrated_proxy,13764552.810118992,13863178.558470681
197,scenario_75,120508.49575445183,430.86836470865455,-13742194.174630241,Road,access_only_integrated_proxy,13742194.174630241,13862702.670384694
197,scenario_78,162846.9723196873,582.2461580145246,-13698854.768184133,Road,access_only_integrated_proxy,13698854.768184133,13861701.74050382
197,scenario_89,100829.79163873443,360.50875222787727,-13762249.173699072,Road,access_only_integrated_proxy,13762249.173699072,13863078.965337805
197,scenario_96,106898.04829800078,382.2053123503938,-13756034.096601758,Road,access_only_integrated_proxy,13756034.096601758,13862932.14489976
2,scenario_100,347123.72803882184,1241.1127706415973,-17492357.94204185,Road,access_only_integrated_proxy,17492357.94204185,17839481.670080673
2,scenario_19,523610.0229278096,1872.1252216413304,-17147940.268787183,Road,access_only_integrated_proxy,17147940.268787183,17671550.291714992
2,scenario_26,237011.59576511342,847.4157613948191,-17706627.50487306,Road,access_only_integrated_proxy,17706627.50487306,17943639.100638174
2,scenario_44,400968.9370344264,1433.6319536426417,-17387691.695593186,Road,access_only_integrated_proxy,17387691.695593186,17788660.632627614
2,scenario_64,497207.8314355267,1777.726324685682,-17201281.289512344,Road,access_only_integrated_proxy,17201281.289512344,17698489.12094787
2,scenario_70,327076.18486830324,1169.4344039984026,-17530806.35420286,Road,access_only_integrated_proxy,17530806.35420286,17857882.53907116
2,scenario_75,401876.2137264123,1436.8758479603566,-17386067.8333023,Road,access_only_integrated_proxy,17386067.8333023,17787944.047028713
2,scenario_78,544780.357555673,1947.8180381878813,-17108144.5358567,Road,access_only_integrated_proxy,17108144.5358567,17652924.893412374
2,scenario_89,335970.6394786767,1201.2358059572798,-17514545.87471178,Road,access_only_integrated_proxy,17514545.87471178,17850516.514190458
2,scenario_96,356879.4943357853,1275.9937227648188,-17474232.421265997,Road,access_only_integrated_proxy,17474232.421265997,17831111.915601783
201,scenario_100,172913.33298835822,618.2376151539065,-30412411.16612679,Road,access_only_integrated_proxy,30412411.16612679,30585324.49911515
201,scenario_19,260945.0117078174,932.9877513575593,-30028400.894562036,Road,access_only_integrated_proxy,30028400.894562036,30289345.906269852
201,scenario_26,118131.33051692318,422.3690029655354,-30651453.265117,Road,access_only_integrated_proxy,30651453.265117,30769584.595633924
201,scenario_44,199688.2829261575,713.9692797359821,-30295675.59031267,Road,access_only_integrated_proxy,30295675.59031267,30495363.873238828
201,scenario_64,247162.5486653521,883.7096712057282,-30087761.718610596,Road,access_only_integrated_proxy,30087761.718610596,30334924.267275948
201,scenario_70,163118.02308871804,583.2152780825672,-30455341.711479414,Road,access_only_integrated_proxy,30455341.711479414,30618459.734568134
201,scenario_75,200041.0045351583,715.2304072765437,-30293849.44643785,Road,access_only_integrated_proxy,30293849.44643785,30493890.450973008
201,scenario_78,271051.6912265465,969.1233652792725,-29983934.29562098,Road,access_only_integrated_proxy,29983934.29562098,30254985.986847527
201,scenario_89,167213.62398740763,597.8587673292786,-30437123.475797154,Road,access_only_integrated_proxy,30437123.475797154,30604337.09978456
201,scenario_96,177558.02230565148,634.844325562106,-30392127.450328693,Road,access_only_integrated_proxy,30392127.450328693,30569685.472634345
202,scenario_100,25659.587515064315,91.7437765901741,-13283794.60556427,Road,access_only_integrated_proxy,13283794.60556427,13309454.193079334
202,scenario_19,38782.55712789199,138.6638914069881,-13131160.004330698,Road,access_only_integrated_proxy,13131160.004330698,13169942.56145859
202,scenario_26,17421.983524359963,62.29089081335405,-13378671.115002666,Road,access_only_integrated_proxy,13378671.115002666,13396093.098527025
202,scenario_44,29713.036160184834,106.23655386881728,-13237466.194676807,Road,access_only_integrated_proxy,13237466.194676807,13267179.230836991
202,scenario_64,37055.14410639491,132.4876660787304,-13154954.648618873,Road,access_only_integrated_proxy,13154954.648618873,13192009.792725269
202,scenario_70,24085.63684601368,86.11624347178076,-13300774.945766073,Road,access_only_integrated_proxy,13300774.945766073,13324860.582612086
202,scenario_75,29800.78431604622,106.55029029200887,-13236762.451219942,Road,access_only_integrated_proxy,13236762.451219942,13266563.235535989
202,scenario_78,40551.50043053125,144.98860489128492,-13113634.701580543,Road,access_only_integrated_proxy,13113634.701580543,13154186.202011075
202,scenario_89,24888.565910063426,88.9870512985508,-13293660.366798818,Road,access_only_integrated_proxy,13293660.366798818,13318548.932708882
202,scenario_96,26499.878588586922,94.74816925528285,-13275838.002589714,Road,access_only_integrated_proxy,13275838.002589714,13302337.8811783
206,scenario_100,94022.88387256117,336.1712049074813,-32734322.52646507,Road,access_only_integrated_proxy,32734322.52646507,32828345.41033763
206,scenario_19,141564.498413589,506.1523965625529,-32684832.86282581,Road,access_only_integrated_proxy,32684832.86282581,32826397.3612394
206,scenario_26,64539.7167434191,230.7565291384817,-32764890.137380525,Road,access_only_integrated_proxy,32764890.137380525,32829429.854123946
206,scenario_44,108356.54460432462,387.42004774730594,-32719431.928488456,Road,access_only_integrated_proxy,32719431.928488456,32827788.47309278
206,scenario_64,133616.18949372065,477.73386187699,-32693072.746624418,Road,access_only_integrated_proxy,32693072.746624418,32826688.936118137
206,scenario_70,88911.96986305954,317.89754587909556,-32739635.64229844,Road,access_only_integrated_proxy,32739635.64229844,32828547.612161502
206,scenario_75,108522.12507630362,388.0120673119236,-32719251.237408705,Road,access_only_integrated_proxy,32719251.237408705,32827773.36248501
206,scenario_78,146557.2377965338,524.0035317864895,-32679599.608843368,Road,access_only_integrated_proxy,32679599.608843368,32826156.8466399
206,scenario_89,90815.12173426387,324.70211122865294,-32737649.26851508,Road,access_only_integrated_proxy,32737649.26851508,32828464.390249345
206,scenario_96,96244.62184546825,344.1148490564228,-32731994.873449136,Road,access_only_integrated_proxy,32731994.873449136,32828239.495294604
209,scenario_100,-80629.87816671038,-288.28559791449516,-25720521.878389418,Road,access_only_integrated_proxy,25720521.878389418,25639892.00022271
209,scenario_19,-121669.46096528454,-435.01930177531904,-25573804.440241493,Road,access_only_integrated_proxy,25573804.440241493,25452134.97927621
209,scenario_26,-54967.879950790426,-196.53320205869204,-25811667.68858987,Road,access_only_integrated_proxy,25811667.68858987,25756699.80863908
