development,score_id,value,value_mode,development_label,value_mio_chf
101030,rail_airpollution_cost,,standalone_annual_proxy,X30 (101030),
101030,rail_co2_cost,,standalone_annual_proxy,X30 (101030),
101030,rail_construction_cost,1583300.0,standalone_annual_proxy,X30 (101030),1.5833
101030,rail_land_consumption_cost,,standalone_annual_proxy,X30 (101030),
101030,rail_maint_cost,1234974.0,standalone_annual_proxy,X30 (101030),1.234974
101030,rail_noise_cost,,standalone_annual_proxy,X30 (101030),
101030,rail_operation_cost,14397753.92824565,standalone_annual_proxy,X30 (101030),14.39775392824565
101030,rail_tts_cost,5689846.2667406,standalone_annual_proxy,X30 (101030),5.6898462667406
101031,rail_accident_cost,,standalone_annual_proxy,X31 (101031),
101031,rail_airpollution_cost,,standalone_annual_proxy,X31 (101031),
101031,rail_co2_cost,,standalone_annual_proxy,X31 (101031),
101031,rail_construction_cost,1583300.0,standalone_annual_proxy,X31 (101031),1.5833
101031,rail_land_consumption_cost,,standalone_annual_proxy,X31 (101031),
101031,rail_maint_cost,1234974.0,standalone_annual_proxy,X31 (101031),1.234974
101031,rail_noise_cost,,standalone_annual_proxy,X31 (101031),
101031,rail_operation_cost,7843392.589073221,standalone_annual_proxy,X31 (101031),7.843392589073221
101031,rail_tts_cost,8671020.360636836,standalone_annual_proxy,X31 (101031),8.671020360636836
101032,rail_accident_cost,,standalone_annual_proxy,X32 (101032),
101032,rail_airpollution_cost,,standalone_annual_proxy,X32 (101032),
101032,rail_co2_cost,,standalone_annual_proxy,X32 (101032),
101032,rail_construction_cost,1304925.0,standalone_annual_proxy,X32 (101032),1.304925
101032,rail_land_consumption_cost,,standalone_annual_proxy,X32 (101032),
101032,rail_maint_cost,1017841.5,standalone_annual_proxy,X32 (101032),1.0178415
101032,rail_noise_cost,,standalone_annual_proxy,X32 (101032),
101032,rail_operation_cost,6209265.796334621,standalone_annual_proxy,X32 (101032),6.209265796334621
101032,rail_tts_cost,707737.5324969894,standalone_annual_proxy,X32 (101032),0.7077375324969893
100000,rail_accident_cost,19947.815413067572,integrated,G (100000),0.01994781541306757
100000,rail_airpollution_cost,90694.75013109244,integrated,G (100000),0.09069475013109245
100000,rail_co2_cost,2667.492650914484,integrated,G (100000),0.002667492650914484
100000,rail_construction_cost,0.0,integrated,G (100000),0.0
100000,rail_land_consumption_cost,0.0,integrated,G (100000),0.0
100000,rail_maint_cost,0.0,integrated,G (100000),0.0
100000,rail_noise_cost,20984.134265546712,integrated,G (100000),0.02098413426554671
100000,rail_operation_cost,1194824.4643038511,integrated,G (100000),1.194824464303851
100000,rail_tts_cost,5886527.116657844,integrated,G (100000),5.8865271166578435
100001,rail_accident_cost,25906.39795283632,integrated,G (100001),0.02590639795283632
100001,rail_airpollution_cost,117786.04526237784,integrated,G (100001),0.11778604526237783
100001,rail_co2_cost,3464.295448893466,integrated,G (100001),0.0034642954488934663
100001,rail_construction_cost,0.0,integrated,G (100001),0.0
100001,rail_land_consumption_cost,0.0,integrated,G (100001),0.0
100001,rail_maint_cost,0.0,integrated,G (100001),0.0
100001,rail_noise_cost,35093.715951644175,integrated,G (100001),0.03509371595164418
100001,rail_operation_cost,1551728.718913366,integrated,G (100001),1.5517287189133662
100001,rail_tts_cost,18635895.53786586,integrated,G (100001),18.63589553786586
100002,rail_accident_cost,26265.54600000827,integrated,G (100002),0.026265546000008272
100002,rail_airpollution_cost,119418.9480000376,integrated,G (100002),0.1194189480000376
100002,rail_co2_cost,3512.3220000011065,integrated,G (100002),0.0035123220000011063
