mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label
Road,150,10,-3819590.5200156523,-5032914.041847535,-24303854.044719167,-24329817.54558407,-0.15712826206252667,-0.20619287812333234,0.13462772744295243,24303854.044719167,24329817.54558407,-3.819590520015652,-24.303854044719166,24.303854044719166,-28.123444564734818,150,Road 150
Road,17,10,-1510787.1037097778,-1484666.7250799087,-110894011.10620114,-110941515.49827449,-0.0136008588078367,-0.013380466726367158,0.0012768562776635246,110894011.10620114,110941515.49827449,-1.5107871037097778,-110.89401110620115,110.89401110620115,-112.40479820991092,17,Road 17
Road,176,10,1070047.264337298,1627610.8559589041,-35537969.18946853,-35545330.4389229,0.030108230509136885,0.04575135955702174,0.040092559532874064,35537969.18946853,35545330.4389229,1.070047264337298,-35.537969189468534,35.537969189468534,-34.467921925131236,176,Road 176
Road,177,10,97665.98857927913,153021.50359239135,-5861732.337683806,-5861953.601521127,0.01666154477141586,0.02610211997862833,0.0241665247676974,5861732.337683806,5861953.601521127,0.09766598857927913,-5.861732337683806,5.861732337683806,-5.764066349104527,177,Road 177
Road,195,10,-3685613.9972035736,-4852803.360992788,-17228285.7911495,-17255302.95202789,-0.21386533029514565,-0.2799091169744726,0.18172622904890268,17228285.7911495,17255302.95202789,-3.6856139972035735,-17.2282857911495,17.2282857911495,-20.913899788353074,195,Road 195
Road,197,10,-366630.53355824965,-481810.36206277367,-6693649.259482881,-6699430.981282255,-0.0547640809081001,-0.07173377197251116,0.04652272394399914,6693649.259482881,6699430.981282255,-0.36663053355824965,-6.693649259482881,6.693649259482881,-7.060279793041131,197,Road 197
Road,2,10,-4009481.507767674,-5272850.804373431,-9785304.534026116,-9822383.823691467,-0.4094599840530109,-0.5308875070287606,0.33757284158308243,9785304.534026116,9822383.823691467,-4.009481507767674,-9.785304534026116,9.785304534026116,-13.79478604179379,2,Road 2
Road,201,10,-4791513.307101714,-6239388.872845863,-17436432.344259858,-17477734.721047275,-0.27468176729062116,-0.3545430105595695,0.2222234668695291,17436432.344259858,17477734.721047275,-4.791513307101715,-17.43643234425986,17.43643234425986,-22.227945651361573,201,Road 201
Road,202,10,-1826860.5798692582,-2354374.2510180064,-8896405.858247269,-8912611.038237806,-0.20528285605185892,-0.26280330592843415,0.16083378423105718,8896405.858247269,8912611.038237806,-1.8268605798692583,-8.896405858247268,8.896405858247268,-10.723266438116527,202,Road 202
Road,206,10,42053.47845530638,87565.64290358448,-6419383.098276015,-6425110.82721497,0.00654788336618063,0.01355958933226993,0.017249160589216894,6419383.098276015,6425110.82721497,0.04205347845530638,-6.419383098276016,6.419383098276016,-6.377329619820709,206,Road 206
Road,209,10,-32588.34566217369,196845.09756955964,-12024465.943614673,-12040257.74974783,-0.0027210668847873704,0.016092562672817508,0.043280197963811974,12024465.943614673,12040257.74974783,-0.03258834566217369,-12.024465943614674,12.024465943614674,-12.057054289276847,209,Road 209
Road,227,10,48815.0610865668,56539.331081052675,-7342137.249155884,-7345112.109834415,0.006648278920529045,0.007691001986903703,0.0035364129503881597,7342137.249155884,7345112.109834415,0.048815061086566795,-7.342137249155884,7.342137249155884,-7.293322188069316,227,Road 227
Road,233,10,-244999.81410782627,-291632.1729191424,-6149261.416283865,-6154359.907268784,-0.039837905119043185,-0.047300482754065565,0.022484023225019373,6149261.416283865,6154359.907268784,-0.24499981410782626,-6.149261416283865,6.149261416283865,-6.394261230391692,233,Road 233
Road,240,10,-5123.40347871599,-1073.9337448673452,-8401487.9835313,-8405016.784008095,-0.000609928637012908,-0.0001300146706701557,0.0011973594267833771,8401487.9835313,8405016.784008095,-0.00512340347871599,-8.4014879835313,8.4014879835313,-8.406611387010017,240,Road 240
Road,243,10,-2560988.1125553343,-3094129.159290374,-23170934.63333605,-23217018.390620165,-0.11049555930423866,-0.13264980729080716,0.06638796927659563,23170934.63333605,23217018.390620165,-2.5609881125553344,-23.17093463333605,23.17093463333605,-25.731922745891385,243,Road 243
Road,245,10,-4229817.275944463,-5464079.505333955,-11326107.915190145,-11353618.062590798,-0.3732995165947945,-0.4779591968188083,0.2931156218380441,11326107.915190145,11353618.062590798,-4.2298172759444626,-11.326107915190146,11.326107915190146,-15.555925191134609,245,Road 245
Road,249,10,-4629899.909072807,-5998775.392734123,-12114049.135376316,-12155656.962004993,-0.38196212706492255,-0.4887142585889081,0.29959082522204994,12114049.135376316,12155656.962004993,-4.629899909072807,-12.114049135376316,12.114049135376316,-16.743949044449124,249,Road 249
Road,25,10,-4664519.418152017,-6072473.776485099,-7471864.751635571,-7501909.320788203,-0.6238359587516553,-0.8002222904932987,0.49469467280844087,7471864.751635571,7501909.320788203,-4.664519418152016,-7.471864751635571,7.471864751635571,-12.136384169787586,25,Road 25
Road,250,10,268071.0897795975,304822.18535826856,-72083826.19659299,-72094627.53499106,0.0037188185266359684,0.004226871705326624,0.0017113254234097791,72083826.19659299,72094627.53499106,0.2680710897795975,-72.08382619659298,72.08382619659298,-71.81575510681338,250,Road 250
Road,255,10,-418794.0836168786,-558053.6299866976,-6374252.6423907755,-6381615.524833976,-0.06568623432369175,-0.08713563693667525,0.05834305891518308,6374252.6423907755,6381615.524833976,-0.4187940836168786,-6.3742526423907755,6.3742526423907755,-6.793046726007654,255,Road 255
Road,261,10,-1952532.0611666786,-2567522.1389412237,-5836881.338072982,-5850121.594049457,-0.3343759019059781,-0.43594459396969326,0.28037737683276104,5836881.338072982,5850121.594049457,-1.9525320611666785,-5.836881338072982,5.836881338072982,-7.789413399239661,261,Road 261
Road,267,10,22215.702585333478,22488.477802406156,-6357890.732762381,-6360712.354702482,0.0034977389526662846,0.0035346065371396874,0.0006486094416067263,6357890.732762381,6360712.354702482,0.022215702585333476,-6.357890732762382,6.357890732762382,-6.335675030177049,267,Road 267
Road,27,10,-4393117.946087332,-5703200.973798679,-7279246.451616178,-7308355.045168464,-0.6030916327922986,-0.7715821908727237,0.47347326991825284,7279246.451616178,7308355.045168464,-4.393117946087332,-7.279246451616178,7.279246451616178,-11.672364397703511,27,Road 27
Road,270,10,-414097.1198519194,-526873.664384392,-20211008.229970828,-20219178.223994777,-0.020487301129101694,-0.026028944276495568,0.01553331777050285,20211008.229970828,20219178.223994777,-0.41409711985191944,-20.211008229970826,20.211008229970826,-20.625105349822746,270,Road 270
Road,273,10,46656.337164012504,58355.489817154674,-6371367.001006767,-6375941.046522258,0.007321935220588325,0.009134645679242508,0.005389584670529502,6371367.001006767,6375941.046522258,0.046656337164012504,-6.371367001006767,6.371367001006767,-6.324710663842755,273,Road 273
Road,277,10,-2748617.992556855,-3656711.1021207795,-46352346.392752245,-46376408.84408054,-0.0592923534013747,-0.07872138838896002,0.05281612230599738,46352346.392752245,46376408.84408054,-2.7486179925568552,-46.352346392752246,46.352346392752246,-49.1009643853091,277,Road 277
Road,28,10,-296676.8284461244,252974.05866527674,-114990042.61045995,-115044282.40116921,-0.002580962301658913,0.00217630254968022,0.010641154082989506,114990042.61045995,115044282.40116921,-0.29667682844612436,-114.99004261045995,114.99004261045995,-115.28671943890608,28,Road 28
Road,284,10,-247938.65738481242,-318559.3594021013,-7647570.524075538,-7655375.15367558,-0.032414916733224074,-0.041493760805427084,0.025302717362033062,7647570.524075538,7655375.15367558,-0.2479386573848124,-7.647570524075538,7.647570524075538,-7.89550918146035,284,Road 284
Road,285,10,-4566160.068711061,-5903296.6549034305,-50838041.04522402,-50880619.20098814,-0.08980438788708617,-0.11574153857882641,0.07204994196396154,50838041.04522402,50880619.20098814,-4.566160068711061,-50.83804104522402,50.83804104522402,-55.40420111393508,285,Road 285
Road,289,10,-4455617.742444625,-5760591.185870668,-84150232.16462092,-84190718.75306743,-0.05294382254935687,-0.06832752302392658,0.04266302517487824,84150232.16462092,84190718.75306743,-4.455617742444625,-84.15023216462092,84.15023216462092,-88.60584990706555,289,Road 289
