development,development_label,road_climate_cost,road_construction_cost,road_ecological_disruption_cost,road_land_consumption_cost,road_maint_cost,road_noise_cost,road_tts_cost,road_externalities_total_cost,road_total_cost_without_tts,road_construction_cost_mio_chf,road_maint_cost_mio_chf,road_tts_cost_mio_chf,road_climate_cost_mio_chf,road_land_consumption_cost_mio_chf,road_ecological_disruption_cost_mio_chf,road_noise_cost_mio_chf,road_externalities_total_cost_mio_chf,road_total_cost_without_tts_mio_chf
464,464,-122764.09044788333,-3282220.983400221,-389737.6956653875,-36633.030478295936,-1746301.326178511,-3516896.9482950284,509.00140941475456,-4066031.7648865953,-9094554.074465327,-3.282220983400221,-1.746301326178511,0.0005090014094147545,-0.12276409044788332,-0.036633030478295935,-0.3897376956653875,-3.5168969482950283,-4.066031764886596,-9.094554074465327
469,469,-247808.91524620852,-3943378.877074457,-810211.63895655,-84953.6761519039,-2218850.858443004,-10080752.044477511,-3310231.085695225,-11223726.274832174,-17385956.010349635,-3.9433788770744567,-2.218850858443004,-3.3102310856952246,-0.24780891524620852,-0.0849536761519039,-0.81021163895655,-10.080752044477512,-11.223726274832174,-17.385956010349634
486,486,-790290.8819166297,-44418449.368100695,-1324342.3138370991,-174305.49292098422,-22322595.097521745,-12759339.975955404,-5501602.629333613,-15048278.664630117,-81789323.13025256,-44.418449368100696,-22.322595097521745,-5.501602629333614,-0.7902908819166298,-0.1743054929209842,-1.324342313837099,-12.759339975955404,-15.048278664630116,-81.78932313025255
493,493,-110803.01075264582,-3189353.5753652807,-357993.5887288769,-6512.259263761658,-1680092.3879668792,-1843787.3658988893,5444.673911273845,-2319096.224644174,-7188542.187976333,-3.189353575365281,-1.6800923879668792,0.005444673911273845,-0.11080301075264581,-0.006512259263761658,-0.3579935887288769,-1.8437873658988893,-2.319096224644174,-7.188542187976333
499,499,-211407.42057013977,-3743039.715727748,-690060.5183998571,-31658.879417422293,-2075706.5635513556,-23472916.34748895,-4386250.873157958,-24406043.16587637,-30224789.44515547,-3.7430397157277477,-2.0757065635513556,-4.386250873157958,-0.21140742057013978,-0.03165887941742229,-0.690060518399857,-23.47291634748895,-24.40604316587637,-30.224789445155473
517,517,-104413.81334968135,-3397536.0051259445,-267280.09039448784,-17704.944399289532,-1827529.1573880273,-5835824.115748005,-143146.50365339706,-6225222.963891463,-11450288.126405435,-3.3975360051259447,-1.8275291573880272,-0.14314650365339707,-0.10441381334968135,-0.017704944399289532,-0.26728009039448786,-5.835824115748005,-6.225222963891463,-11.450288126405434
521,521,-796984.309117368,-33507749.075357676,-1454740.295129978,-269902.16787320806,-17342287.18247126,-6509827.718492732,-9193143.75706394,-9031454.490613285,-59881490.74844222,-33.50774907535767,-17.34228718247126,-9.19314375706394,-0.796984309117368,-0.2699021678732081,-1.4547402951299782,-6.5098277184927325,-9.031454490613285,-59.88149074844222
531,531,-358229.92668208,-4578130.082099217,-1166944.3551204195,-132180.49022305108,-2672241.0821901076,-8956995.863905897,-5002085.655379133,-10614350.635931447,-17864721.800220773,-4.578130082099217,-2.6722410821901077,-5.002085655379133,-0.35822992668208004,-0.1321804902230511,-1.1669443551204195,-8.956995863905897,-10.614350635931448,-17.864721800220774
533,533,-751959.8172854104,-6772099.219232654,-2458800.191874434,-152380.02069810178,-4239707.8048791755,-27349931.24892059,-349176.0741875505,-30713071.278778534,-41724878.30289036,-6.772099219232654,-4.239707804879176,-0.34917607418755053,-0.7519598172854104,-0.15238002069810178,-2.4588001918744338,-27.34993124892059,-30.713071278778536,-41.72487830289036
538,538,-278074.15077562555,-13010080.53304571,-631610.4883155179,-68533.91275324521,-6581761.022042856,-12925413.88980676,264055.24429674324,-13903632.441651149,-33495473.996739715,-13.01008053304571,-6.581761022042856,0.26405524429674326,-0.27807415077562553,-0.0685339127532452,-0.6316104883155179,-12.92541388980676,-13.90363244165115,-33.49547399673972
540,540,-346275.0074873485,-4566411.911710947,-1112012.3988143562,-70498.81376290503,-2663576.86397543,-49439927.33952002,920430.2612447368,-50968713.55958463,-58198702.33527101,-4.566411911710947,-2.66357686397543,0.9204302612447368,-0.3462750074873485,-0.07049881376290504,-1.1120123988143562,-49.439927339520025,-50.968713559584636,-58.19870233527101
546,546,-163761.83669574402,-3480817.6174262166,-532795.8142158802,-85171.80200188796,-1888346.3035100258,-7415363.689211061,-819813.9749262839,-8197093.142124574,-13566257.063060816,-3.4808176174262164,-1.8883463035100259,-0.8198139749262839,-0.163761836695744,-0.08517180200188797,-0.5327958142158802,-7.415363689211061,-8.197093142124574,-13.566257063060817
550,550,-355676.7646290079,-6047434.172237609,-1112100.7166316109,-57864.68499658651,-3369517.08306574,-24077844.17104707,220225.73712286865,-25603486.337304275,-35020437.592607625,-6.047434172237608,-3.3695170830657397,0.22022573712286866,-0.3556767646290079,-0.057864684996586514,-1.1121007166316108,-24.07784417104707,-25.603486337304275,-35.02043759260763
552,552,-169683.10870258178,-3594521.245737231,-529132.0882931261,-88865.56461981505,-1969151.4547973468,-3415513.631114776,-1972290.5366021194,-4203194.392730298,-9766867.093264876,-3.594521245737231,-1.9691514547973468,-1.9722905366021195,-0.16968310870258177,-0.08886556461981505,-0.5291320882931261,-3.415513631114776,-4.203194392730299,-9.766867093264876
556,556,-238501.22383049544,-3919191.537628266,-771753.4999527433,-12982.435449975008,-2201423.0319838044,-15016569.953547817,-708332.0409322723,-16039807.112781031,-22160421.682393104,-3.919191537628266,-2.2014230319838046,-0.7083320409322723,-0.23850122383049543,-0.012982435449975007,-0.7717534999527433,-15.016569953547817,-16.03980711278103,-22.160421682393103
558,558,-1265138.3254802153,-52053572.663613416,-2651862.5987793235,-229538.75932528512,-26659788.83062905,-25088959.2565288,-4198638.484168677,-29235498.940113623,-107948860.43435608,-52.053572663613416,-26.65978883062905,-4.198638484168677,-1.2651383254802153,-0.2295387593252851,-2.6518625987793234,-25.0889592565288,-29.235498940113622,-107.94886043435608
564,564,-535438.9046372946,-50979916.229344666,-275279.9999999243,-78190.68166777225,-25080285.614042465,-11060217.640552577,-5001812.299306216,-11949127.226857567,-88009329.0702447,-50.97991622934467,-25.080285614042463,-5.0018122993062155,-0.5354389046372946,-0.07819068166777225,-0.27527999999992425,-11.060217640552576,-11.949127226857566,-88.0093290702447
565,565,-741060.0909027767,-16295966.507486504,-2074700.50148341,-165086.4026022716,-8810728.422211926,-19341708.21538301,-187941.1933488658,-22322555.210371472,-47429250.1400699,-16.295966507486504,-8.810728422211927,-0.1879411933488658,-0.7410600909027767,-0.16508640260227161,-2.07470050148341,-19.34170821538301,-22.322555210371473,-47.429250140069904
569,569,-356092.54651531426,-4620443.691253348,-1144417.3405843612,-73507.04486696703,-2702183.1001818045,-41881749.570849515,588978.5838143376,-43455766.502816156,-50778393.29425131,-4.620443691253349,-2.7021831001818044,0.5889785838143377,-0.35609254651531425,-0.07350704486696703,-1.1444173405843612,-41.881749570849514,-43.455766502816154,-50.77839329425131
57,57,-162622.1811259182,-3528622.3008009167,-513562.00863720337,-14002.185493463714,-1922211.7478663805,-7041281.554634409,1520282.7556613146,-7731467.929890994,-13182301.97855829,-3.5286223008009165,-1.9222117478663805,1.5202827556613145,-0.1626221811259182,-0.014002185493463715,-0.5135620086372034,-7.041281554634409,-7.731467929890994,-13.182301978558291
594,594,-701164.2769751268,-36781538.5567404,-1184881.6206918168,-122469.81002935146,-18627270.980539933,-17472427.83860195,-457686.21865867625,-19480943.546298247,-74889753.08357859,-36.7815385567404,-18.627270980539933,-0.45768621865867626,-0.7011642769751268,-0.12246981002935146,-1.1848816206918167,-17.472427838601952,-19.480943546298246,-74.88975308357858
602,602,-724676.4228473313,-17302854.953080636,-1958734.120880256,-160470.93664048502,-9294539.69588742,-19359454.396194153,-278906.08459224284,-22203335.876562223,-48800730.52553028,-17.302854953080637,-9.294539695887421,-0.27890608459224286,-0.7246764228473312,-0.160470936640485,-1.958734120880256,-19.359454396194153,-22.20333587656222,-48.80073052553028
