mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Road,940,10,-2842.7622905498806,-2185.534525615687,1809.0878849887542,-6000.193435094552,-746.124407561816,-4062.929053780186,-1633.2929322137352,-795085.0781381697,-611266.6876331375,505979.2678327922,0,10,2429.636121566451
Road,625,10,-2774.1405372743698,-2202.1059747728577,1616.6634219675334,-5582.309682967607,-856.1856019604311,-3879.504348260234,-1698.975329791676,-775892.4315189254,-615901.5148192836,452160.5508315445,0,10,2180.529018468558
Road,858,10,-2020.5143883669546,-2231.333144917502,332.6645176813539,-2276.6433710203273,-1374.5312875558157,-2268.7692527723557,-1840.7926282659391,-565112.6179963826,-624075.9889691139,93042.10728900366,0,10,427.97662450641656
Road,614,10,-2915.524264174039,-2234.669359391817,1867.5989291935366,-6176.742526366143,-757.4114107878704,-4172.387047834782,-1666.1647342165088,-815435.6926361766,-625009.0864548988,522344.0755088173,0,10,2506.222313618273
Road,764,10,-2534.4310503029437,-2450.9082104323315,552.5727183476479,-3330.0650058686733,-1578.8063363821711,-2967.5361909177445,-2214.279248576262,-708848.6843816045,-685488.3901052928,154547.68216285776,0,10,753.2569423414825
Road,935,10,-3307.521592311008,-2544.903279099206,2098.156130507218,-6968.054524246836,-875.5014669097145,-4720.278197981592,-1904.6145565218176,-925072.445349485,-711777.6358730593,586828.0427512375,0,10,2815.663641459774
Road,791,10,-3991.703885586947,-3272.103941232228,2100.78967666085,-7600.807142943377,-1422.4804699293743,-5434.628776382713,-2601.6039246922155,-1116429.680500099,-915166.5710633888,587564.6126910815,0,10,2833.0248516904976
Road,878,10,-4309.450752804978,-3442.961741393665,2459.009544424454,-8563.025866826763,-1374.0944500087353,-5980.688523958437,-2674.0189642078476,-1205299.5074251425,-962953.3620460406,687754.2319562145,0,10,3306.6695597505895
Road,809,10,-4209.314797068044,-3444.3845363449946,2228.263990872517,-8039.451615593396,-1488.9652214566013,-5738.817506604479,-2734.44040528193,-1177292.7323049684,-963351.3000089906,623217.5849471571,0,10,3004.3771013225487
Road,459,10,-3862.5285165089617,-3477.3464876589424,1375.1884303503757,-6112.209791234462,-1936.4160962348396,-4859.5315354311315,-2985.3094387323654,-1080300.9444611003,-972570.3457671104,384623.0141136208,0,10,1874.222096698766
