development,scenario,total_veh_km,new_link_veh_km,rest_network_veh_km,status_quo_veh_km,delta_total_veh_km,delta_rest_network_veh_km
392,scenario_96,368464.0727636244,289.87328124786745,368174.19948237657,368308.10862877563,155.96413484879304,-133.9091463990626
394,scenario_96,370493.9910884856,1878.7344199355605,368615.25666855,368308.10862877563,2185.8824597099447,307.14803977438714
423,scenario_96,368426.62466263917,3189.9263928816576,365236.6982697575,368308.10862877563,118.51603386353236,-3071.410359018133
459,scenario_96,374290.79402583657,5849.410903540148,368441.3831222964,368308.10862877563,5982.685397060937,133.27449352078838
464,scenario_96,368324.039067045,29.3297275628855,368294.7093394821,368308.10862877563,15.930438269395381,-13.399289293505717
469,scenario_96,374628.7181314044,3320.9861123410833,371307.7320190633,368308.10862877563,6320.609502628795,2999.6233902876847
486,scenario_96,378663.94453041564,5734.8236346977865,372929.1208957179,368308.10862877563,10355.835901640006,4621.012266942242
493,scenario_96,368350.59299118584,129.312712854614,368221.28027833125,368308.10862877563,42.48436241020681,-86.82835044438252
499,scenario_96,374361.11399326567,1818.39278411378,372542.7212091519,368308.10862877563,6053.005364490033,4234.61258037627
517,scenario_96,369171.9509212383,601.3847435834189,368570.56617765484,368308.10862877563,863.8422924626502,262.4575488792034
521,scenario_96,382387.0655139298,5960.011570782135,376427.0539431477,368308.10862877563,14078.956885154184,8118.945314372075
531,scenario_96,375694.79877018323,3488.4199587302774,372206.37881145295,368308.10862877563,7386.690141407598,3898.270182677312
533,scenario_96,370909.1999232322,2604.9840058847317,368304.21591734746,368308.10862877563,2601.0912944565644,-3.8927114281686954
538,scenario_96,369894.8991346264,1425.5269595988202,368469.37217502756,368308.10862877563,1586.7905058507458,161.2635462519247
540,scenario_96,369764.4885267451,2634.5186796011067,367129.96984714404,368308.10862877563,1456.3798979694839,-1178.1387816315982
546,scenario_96,369243.07479142357,673.7747199888182,368569.30007143476,368308.10862877563,934.9661626479356,261.19144265912473
550,scenario_96,370529.6331445145,1999.5361519583735,368530.0969925561,368308.10862877563,2221.5245157388854,221.98836378048873
552,scenario_96,370598.1371703285,622.7513420397497,369975.3858282888,368308.10862877563,2290.0285415528924,1667.2771995131625
556,scenario_96,369586.04897826165,1345.3450212627376,368240.7039569989,368308.10862877563,1277.9403494860162,-67.40467177674873
557,scenario_96,343594.9529971741,0.0,343594.9529971741,368308.10862877563,-24713.15563160152,-24713.15563160152
558,scenario_96,379605.5971094089,8327.33514983,371278.2619595789,368308.10862877563,11297.488480633241,2970.1533308032667
564,scenario_96,378335.8690645256,5844.99629080538,372490.8727737202,368308.10862877563,10027.760435749951,4182.764144944551
565,scenario_96,372381.88787114236,4924.250544673034,367457.63732646935,368308.10862877563,4073.779242366727,-850.4713023062795
569,scenario_96,369553.5064725576,2039.455485725334,367514.0509868323,368308.10862877563,1245.397843781975,-794.0576419433346
594,scenario_96,373556.4556342108,6271.1630951375155,367285.29253907327,368308.10862877563,5248.347005435149,-1022.8160897023627
602,scenario_96,372336.20196530974,4823.772401972767,367512.42956333695,368308.10862877563,4028.0933365341043,-795.6790654386859
612,scenario_96,383518.4162713968,5863.3507608704085,377655.0655105264,368308.10862877563,15210.307642621163,9346.956881750782
614,scenario_96,369927.71477933007,936.8253287071018,368990.88945062296,368308.10862877563,1619.6061505544349,682.7808218473219
625,scenario_96,370793.00546479865,2771.5527813646568,368021.452683434,368308.10862877563,2484.896836023021,-286.65594534162665
627,scenario_96,370301.3302011371,2178.8996080339357,368122.43059310317,368308.10862877563,1993.221572361479,-185.678035672463
628,scenario_96,370159.7618145037,1532.690650630137,368627.07116387354,368308.10862877563,1851.6531857280643,318.96253509790404
629,scenario_96,369635.63221034786,1273.5056532802769,368362.12655706756,368308.10862877563,1327.5235815722262,54.01792829192709
648,scenario_96,370416.46437801723,2257.1604127083774,368159.3039653089,368308.10862877563,2108.3557492416003,-148.8046634667553
662,scenario_96,382303.93998162023,6422.498455685861,375881.4415259344,368308.10862877563,13995.831352844601,7573.332897158747
669,scenario_96,367354.3057735954,725.3535346271921,366628.9522389682,368308.10862877563,-953.8028551802272,-1679.1563898074091
670,scenario_96,371024.88479958003,2333.9862902741047,368690.8985093059,368308.10862877563,2716.776170804398,382.7898805302684
673,scenario_96,367780.58922669,745.867715963457,367034.72151072655,368308.10862877563,-527.5194020856288,-1273.3871180490823
678,scenario_96,375887.56962600234,2424.217411254002,373463.35221474833,368308.10862877563,7579.460997226706,5155.2435859726975
680,scenario_96,372313.76536042726,4693.213952476463,367620.5514079508,368308.10862877563,4005.6567316516303,-687.5572208248195
682,scenario_96,379623.52380521345,8345.285822486494,371278.23798272695,368308.10862877563,11315.415176437818,2970.1293539513135
689,scenario_96,378644.36300651886,5958.217520583619,372686.14548593527,368308.10862877563,10336.25437774323,4378.036857159634
694,scenario_96,371016.67651400086,4187.585335931887,366829.09117806895,368308.10862877563,2708.5678852252313,-1479.017450706684
726,scenario_96,370150.502094271,1776.48791507867,368374.01417919237,368308.10862877563,1842.3934654953773,65.9055504167336
736,scenario_96,368386.5007848012,3.9960885098320635,368382.50469629135,368308.10862877563,78.39215602556942,74.3960675157141
