development,scenario,veh_km,case_type
521,scenario_70,351502.1540119036,development
531,scenario_70,345356.8094200988,development
533,scenario_70,340978.70542935655,development
538,scenario_70,340051.1000629015,development
540,scenario_70,339924.21675246634,development
546,scenario_70,339433.23449465627,development
550,scenario_70,340635.8257004959,development
552,scenario_70,340681.73271887976,development
556,scenario_70,339750.7030193751,development
557,scenario_70,315906.2816514297,development
558,scenario_70,348956.43062883976,development
564,scenario_70,347788.9552390025,development
565,scenario_70,342314.477641514,development
569,scenario_70,339728.16452789644,development
57,scenario_70,338859.0656315999,development
594,scenario_70,343393.4052794411,development
602,scenario_70,342272.5060113918,development
612,scenario_70,352539.8477189522,development
614,scenario_70,340071.38169409445,development
62,scenario_70,338798.70797735726,development
625,scenario_70,340863.2722698594,development
627,scenario_70,340408.66127354023,development
628,scenario_70,340274.3508223667,development
629,scenario_70,339799.1644253374,development
63,scenario_70,348317.82029275823,development
648,scenario_70,340511.74322504655,development
662,scenario_70,351427.4557569379,development
669,scenario_70,337703.111776163,development
670,scenario_70,341071.50858230866,development
673,scenario_70,338098.3808214735,development
678,scenario_70,345548.6803534077,development
680,scenario_70,342252.9153167811,development
682,scenario_70,348972.91041230597,development
689,scenario_70,348072.49838439503,development
694,scenario_70,341069.72215543396,development
726,scenario_70,340259.45332781033,development
73,scenario_70,341723.81235326076,development
736,scenario_70,338660.58233762387,development
750,scenario_70,348343.2638090065,development
755,scenario_70,341262.21400026366,development
759,scenario_70,352548.2698548096,development
761,scenario_70,338546.16204400884,development
764,scenario_70,343472.97665423714,development
767,scenario_70,338561.32396346366,development
770,scenario_70,338753.04496246274,development
775,scenario_70,347785.4401548072,development
776,scenario_70,340928.8341841593,development
780,scenario_70,340257.7090091183,development
789,scenario_70,349000.82332324475,development
791,scenario_70,342299.3396849406,development
809,scenario_70,342469.8772495271,development
810,scenario_70,343263.43262624514,development
811,scenario_70,338840.6151404299,development
813,scenario_70,343858.25776558684,development
822,scenario_70,340083.1686146525,development
831,scenario_70,340376.7743515635,development
837,scenario_70,339728.3346119972,development
858,scenario_70,343216.88178882404,development
863,scenario_70,342465.63992625213,development
866,scenario_70,340139.4262194632,development
873,scenario_70,347892.4888083916,development
878,scenario_70,341827.81390814297,development
887,scenario_70,341436.62947688944,development
895,scenario_70,347172.3256785588,development
9,scenario_70,320134.4899336517,development
90,scenario_70,339549.3169364811,development
935,scenario_70,340480.72523983405,development
938,scenario_70,341736.22769615555,development
94,scenario_70,338576.11682734406,development
940,scenario_70,340477.68344991386,development
945,scenario_70,347840.52906460164,development
952,scenario_70,348829.59185934457,development
958,scenario_70,339817.0768464421,development
964,scenario_70,338892.84992463334,development
970,scenario_70,340729.4303435272,development
971,scenario_70,339546.7925679386,development
987,scenario_70,338642.9100681387,development
status_quo,scenario_70,338579.30395679234,status_quo
0,scenario_75,414215.79381564364,development
103,scenario_75,426170.0878964573,development
104,scenario_75,415617.8971186811,development
109,scenario_75,432198.53141630144,development
114,scenario_75,417185.4740949686,development
12,scenario_75,418765.3539328553,development
126,scenario_75,426059.1356799196,development
140,scenario_75,415543.95589413255,development
143,scenario_75,415163.1550842714,development
144,scenario_75,421642.9576554024,development
15,scenario_75,414322.5229789732,development
150,scenario_75,422171.7057531382,development
152,scenario_75,391605.2251160098,development
17,scenario_75,428244.98002100247,development
176,scenario_75,417082.455906988,development
177,scenario_75,415116.2937933303,development
195,scenario_75,422475.92070772353,development
197,scenario_75,416616.7843114451,development
2,scenario_75,425144.3989413192,development
201,scenario_75,426300.67925387045,development
202,scenario_75,419510.8679877018,development
206,scenario_75,416476.12808209955,development
209,scenario_75,419345.3920857944,development
227,scenario_75,415887.63233381516,development
233,scenario_75,416331.97830003005,development
240,scenario_75,415997.7081969922,development
243,scenario_75,427899.19802312576,development
245,scenario_75,422500.905562915,development
249,scenario_75,426385.39346911473,development
25,scenario_75,423134.6915050478,development
250,scenario_75,418111.42682583054,development
254,scenario_75,387634.2097643746,development
255,scenario_75,417024.0921334594,development
261,scenario_75,418652.0420941815,development
267,scenario_75,415782.34812143445,development
27,scenario_75,422867.74873755244,development
270,scenario_75,417276.0958434228,development
273,scenario_75,416309.6143690998,development
277,scenario_75,421628.3492756933,development
28,scenario_75,430214.8467833674,development
284,scenario_75,417046.2929686368,development
285,scenario_75,426711.9657288889,development
289,scenario_75,426187.167935664,development
308,scenario_75,420408.03757606767,development
331,scenario_75,426538.7761902483,development
334,scenario_75,413761.3010229939,development
348,scenario_75,429698.8415290532,development
351,scenario_75,425886.29609209474,development
356,scenario_75,420943.23201460624,development
358,scenario_75,425237.61452006956,development
390,scenario_75,419703.60497495095,development
392,scenario_75,415221.33645387826,development
394,scenario_75,417507.1394397262,development
423,scenario_75,415179.40950787754,development
459,scenario_75,421792.58564436145,development
464,scenario_75,415064.0847714034,development
469,scenario_75,422174.6976170473,development
486,scenario_75,426721.63099820295,development
493,scenario_75,415093.6957121577,development
499,scenario_75,421865.8522899118,development
517,scenario_75,416018.9082462978,development
521,scenario_75,430913.6528494264,development
531,scenario_75,423374.6332288877,development
533,scenario_75,417986.76006173406,development
538,scenario_75,416837.3760424936,development
540,scenario_75,416695.8728000823,development
546,scenario_75,416106.35443424986,development
550,scenario_75,417552.6322158517,development
552,scenario_75,417632.6909923069,development
556,scenario_75,416493.6981812799,development
557,scenario_75,387214.27192733984,development
558,scenario_75,427781.4092505275,development
564,scenario_75,426351.3953554819,development
565,scenario_75,419641.75272764027,development
569,scenario_75,416457.9805771796,development
57,scenario_75,415384.28327635094,development
594,scenario_75,420965.0981760899,development
602,scenario_75,419590.38493873953,development
