development,scenario,veh_km,status_quo_veh_km,delta_veh_km,delta_pct
459,scenario_78,571209.2293894977,562067.9056858013,9141.32370369637,1.6263735415639289
464,scenario_78,562076.6180624553,562067.9056858013,8.712376654031686,0.0015500576649010711
469,scenario_78,571722.8955114981,562067.9056858013,9654.9898256968,1.717762165038825
486,scenario_78,577884.7688291806,562067.9056858013,15816.863143379334,2.8140484420793523
493,scenario_78,562117.3295712074,562067.9056858013,49.42388540611137,0.008793223186406157
499,scenario_78,571297.2167932756,562067.9056858013,9229.311107474263,1.6420277717535243
517,scenario_78,563370.6008173556,562067.9056858013,1302.6951315542683,0.23176828251113155
521,scenario_78,583565.1680481338,562067.9056858013,21497.26236233255,3.824673521627763
531,scenario_78,573354.7671446223,562067.9056858013,11286.86145882099,2.0080957024310866
533,scenario_78,566042.3655238791,562067.9056858013,3974.459838077775,0.7071138198556951
538,scenario_78,564473.074958467,562067.9056858013,2405.1692726657493,0.4279143584494665
540,scenario_78,564296.4167314512,562067.9056858013,2228.5110456498805,0.39648430787571587
546,scenario_78,563508.2433744045,562067.9056858013,1440.3376886032056,0.2562568817811778
550,scenario_78,565440.5987903754,562067.9056858013,3372.6931045741076,0.6000508249014772
552,scenario_78,565570.8532258155,562067.9056858013,3502.9475400141673,0.6232249706092153
556,scenario_78,564032.7338900394,562067.9056858013,1964.8282042380888,0.34957132125178436
557,scenario_78,524346.9100016893,562067.9056858013,-37720.99568411196,-6.711110046051656
558,scenario_78,579314.7112140286,562067.9056858013,17246.805528227356,3.068455849152932
564,scenario_78,577380.5347286706,562067.9056858013,15312.629042869317,2.724337911481669
565,scenario_78,568295.9439114064,562067.9056858013,6228.038225605153,1.1080579699718092
569,scenario_78,563975.9083505655,562067.9056858013,1908.002664764179,0.33946123688313945
57,scenario_78,562510.9162200007,562067.9056858013,443.01053419942036,0.0788179737213221
594,scenario_78,570089.7342357112,562067.9056858013,8021.828549909871,1.4271991815868086
602,scenario_78,568226.3479259376,562067.9056858013,6158.442240136326,1.0956758387800434
612,scenario_78,585291.9203731982,562067.9056858013,23224.014687396935,4.131887704753467
614,scenario_78,564542.8944584777,562067.9056858013,2474.9887726764427,0.44033625610709987
62,scenario_78,562410.3715679795,562067.9056858013,342.46588217816316,0.06092962766844106
625,scenario_78,565874.201902907,562067.9056858013,3806.2962171057006,0.6771950824093911
627,scenario_78,565097.5513518023,562067.9056858013,3029.6456660010153,0.539017729949271
628,scenario_78,564910.0866048144,562067.9056858013,2842.1809190131025,0.5056650433625534
629,scenario_78,564082.7352161185,562067.9056858013,2014.82953031722,0.3584672794755728
63,scenario_78,578266.4979308313,562067.9056858013,16198.592245029984,2.881963563684612
648,scenario_78,565293.5455266458,562067.9056858013,3225.639840844553,0.5738879249667924
662,scenario_78,583437.7071889234,562067.9056858013,21369.801503122086,3.801996393487001
669,scenario_78,560600.7305737942,562067.9056858013,-1467.1751120070694,-0.26103164709554283
670,scenario_78,566201.4458158637,562067.9056858013,4133.540130062378,0.7354165018582376
673,scenario_78,561249.3917869163,562067.9056858013,-818.513898884994,-0.14562544678410214
678,scenario_78,573621.8193318074,562067.9056858013,11553.913646006142,2.0556081443413414
680,scenario_78,568192.2263142989,562067.9056858013,6124.320628497633,1.0896051111520249
682,scenario_78,579342.1132499104,562067.9056858013,17274.20756410912,3.073331067183453
689,scenario_78,577851.3009672331,562067.9056858013,15783.395281431847,2.808094025965404
694,scenario_78,566207.0471903186,562067.9056858013,4139.141504517291,0.7364130672906791
726,scenario_78,564900.3379623932,562067.9056858013,2832.4322765918914,0.5039306190478763
73,scenario_78,567313.6258095473,562067.9056858013,5245.720123745967,0.9332893891789562
