development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
17,scenario_29,1006.8203267349236,1006.82032673492,2013.6406534698435,-1001.6152187006082,1012.0254347692244,True,331016.6526224338,16550832.63112169
233,scenario_19,124.7420340911558,124.7420340911558,249.4840681823116,740.0347807912622,989.5188489735592,True,323655.123518435,16182756.17592175
627,scenario_19,649.4181599032818,649.4181599032818,1298.8363198065636,-375.2880460810848,923.5482737254353,True,302077.24786436104,15103862.393218052
810,scenario_19,-82.63989766646773,-82.63989766646773,-165.27979533293546,1088.4274267354049,923.1476314021274,True,301946.20443777915,15097310.221888958
267,scenario_30,87.56864922539535,87.56864922539535,175.1372984507907,740.3288227263838,915.466121177189,True,299433.7104683722,14971685.52341861
392,scenario_30,132.79802917636698,132.79802917637062,265.5960583527376,613.2259943700628,878.8220527229132,True,287448.0464114529,14372402.320572644
602,scenario_30,-203.52086638730907,-203.52086638730543,-407.0417327746145,1144.459511277499,737.4177785029169,True,241197.0650519957,12059853.252599789
177,scenario_30,-62.49788327238275,-62.49788327238275,-124.9957665447655,860.371406207676,735.3756396629615,True,240529.11547309364,12026455.773654684
964,scenario_30,61.743290051672375,61.743290051672375,123.48658010334475,588.1804078981513,711.6669880015543,True,232774.4106588417,11638720.532942085
233,scenario_30,124.74203376068908,124.74203376069272,249.4840675213818,455.9889162973268,705.4729838188505,True,230748.45512408236,11537422.756204115
392,scenario_29,132.79802928438585,132.79802928437857,265.5960585687644,390.5151214930229,656.1111800617073,True,214603.0318118501,10730151.590592504
780,scenario_29,307.54422997043,307.54422997042275,615.0884599408528,-34.197066990309395,580.8913929505507,True,189999.89311090927,9499994.655545464
227,scenario_19,295.10576023343674,295.1057602334404,590.2115204668771,-24.74626496736892,565.4652554991189,True,184954.2606528368,9247713.03264184
958,scenario_29,139.76549900964528,139.76549900964528,279.53099801929056,282.9598877169192,562.4908857361879,True,183981.39387621143,9199069.693810573
273,scenario_19,302.044426815366,302.044426815366,604.088853630732,-135.13916188059375,468.9496917501092,True,153385.62834326486,7669281.4171632435
538,scenario_29,182.5831747090706,182.5831747090633,365.1663494181339,34.39519503060728,399.5615444488358,True,130689.92183014004,6534496.091507001
206,scenario_29,245.59991042060935,245.5999104206057,491.19982084121506,-116.11017898307182,375.0896418581251,True,122685.57035776175,6134278.517888088
627,scenario_30,649.4181602578501,649.4181602578501,1298.8363205157002,-945.3102572665084,353.5260632492136,True,115632.48318776362,5781624.159388181
94,scenario_30,-9.11020180147898,-9.11020180147898,-18.22040360295796,366.4475870130118,348.22718341019936,True,113899.30790708604,5694965.395354302
209,scenario_29,-116.27833933830334,-116.27833933830334,-232.55667867660668,579.0016122506931,346.44493357418105,True,113316.3636898884,5665818.184494419
837,scenario_29,262.21932055182333,262.2193205518197,524.438641103643,-186.27313332201447,338.16550778166857,True,110608.30150358744,5530415.075179371
493,scenario_19,3.841392600123072,3.84139260012671,7.682785200249782,313.1835045882035,320.8662897881586,True,104950.0156182102,5247500.780910511
240,scenario_19,219.48697951477152,219.4869795147752,438.9739590295467,-124.95411935308948,314.01983967609704,True,102710.65589405672,5135532.794702836
177,scenario_29,-62.49788321691449,-62.49788321691449,-124.99576643382898,434.4820778977592,309.486311463872,True,101227.81437464146,5061390.718732073
550,scenario_29,311.9927415825296,311.99274158251865,623.9854831650482,-324.37781184061896,299.6076713245129,True,97996.67582905944,4899833.791452971
627,scenario_29,649.41815948964,649.41815948964,1298.83631897928,-1004.8203240314032,294.01599494786933,True,96167.7316808656,4808386.584043279
94,scenario_29,-9.11020179123443,-9.110201791241709,-18.220403582476138,291.3195668779081,273.0991632953519,True,89326.18466118802,4466309.233059401
227,scenario_29,295.1057589635857,295.10575896358205,590.2115179271677,-363.2022925714264,227.00922535581049,True,74250.93412679635,3712546.7063398175
